word	lakok	lakom
tuzalalózik	tuzalalózok	tuzalalózom
gókrokózik	gókrokózok	gókrokózom
lölőzik	lölőzök	lölőzöm
dávozotózik	dávozotózok	dávozotózom
szűngüzőlik	szűngüzőlök	szűngüzőlöm
fózulozik	fózulozok	fózulozom
taszlarakangolik	taszlarakangolok	taszlarakangolom
sztövítelik	sztövítelek	sztövítelem
tíngedik	tíngedek	tíngedem
szusozik	szusozok	szusozom
biledik	biledek	biledem
bádunyílezik	bádunyílezek	bádunyílezem
szöpígezik	szöpígezek	szöpígezem
rizolozik	rizolozok	rizolozom
pülügyözik	pülügyözök	pülügyözöm
blökőzik	blökőzök	blökőzöm
sajazozik	sajazozok	sajazozom
kimtükerűlőlik	kimtükerűlőlök	kimtükerűlőlöm
bünsöregedik	bünsöregedek	bünsöregedem
mörőzik	mörőzök	mörőzöm
kőnyelezik	kőnyelezek	kőnyelezem
szanolik	szanolok	szanolom
púvulolik	púvulolok	púvulolom
vőnölik	vőnölök	vőnölöm
rőnjödözik	rőnjödözök	rőnjödözöm
vólutózik	vólutózok	vólutózom
béböklelelik	béböklelelek	béböklelelem
biselik	biselek	biselem
zítedik	zítedek	zítedem
mínöjtölik	mínöjtölök	mínöjtölöm
kokíszezik	kokíszezek	kokíszezem
súpratózik	súpratózok	súpratózom
buriglúgúgolik	buriglúgúgolok	buriglúgúgolom
rílebedötödik	rílebedötödök	rílebedötödöm
prőgyüntölik	prőgyüntölök	prőgyüntölöm
súkszunodik	súkszunodok	súkszunodom
pémísídülödik	pémísídülödök	pémísídülödöm
kúdaszókódik	kúdaszókódok	kúdaszókódom
sztölekedik	sztölekedek	sztölekedem
szonódik	szonódok	szonódom
fegelik	fegelek	fegelem
bekedik	bekedek	bekedem
tadozik	tadozok	tadozom
szulolik	szulolok	szulolom
szundozígurolik	szundozígurolok	szundozígurolom
lülisélüntődik	lülisélüntődök	lülisélüntődöm
vünöníledik	vünöníledek	vünöníledem
rörőlik	rörőlök	rörőlöm
tőmükölik	tőmükölök	tőmükölöm
relelik	relelek	relelem
nékezik	nékezek	nékezem
tőgelelik	tőgelelek	tőgelelem
tókólik	tókólok	tókólom
búlózik	búlózok	búlózom
bíbílezik	bíbílezek	bíbílezem
tísekűnőnözik	tísekűnőnözök	tísekűnőnözöm
lüsződik	lüsződök	lüsződöm
kúlízelik	kúlízelek	kúlízelem
szöníkőlőzik	szöníkőlőzök	szöníkőlőzöm
zedvülmőnödik	zedvülmőnödök	zedvülmőnödöm
kízitesztelik	kízitesztelek	kízitesztelem
sezölőlik	sezölőlök	sezölőlöm
bógolólik	bógolólok	bógolólom
rükődik	rükődök	rükődöm
szűvögéledik	szűvögéledek	szűvögéledem
kőfedelik	kőfedelek	kőfedelem
fitedik	fitedek	fitedem
rűtpekedik	rűtpekedek	rűtpekedem
bürtődik	bürtődök	bürtődöm
bögetedik	bögetedek	bögetedem
bézütődik	bézütődök	bézütődöm
tűmölölik	tűmölölök	tűmölölöm
vümestekedik	vümestekedek	vümestekedem
sórnogózik	sórnogózok	sórnogózom
múrílintelik	múrílintelek	múrílintelem
dirzotózik	dirzotózok	dirzotózom
funotodik	funotodok	funotodom
téfütődik	téfütődök	téfütődöm
súkulózik	súkulózok	súkulózom
tónyilelik	tónyilelek	tónyilelem
szesevedik	szesevedek	szesevedem
túpazólik	túpazólok	túpazólom
tilelik	tilelek	tilelem
linzsitedik	linzsitedek	linzsitedem
kudolik	kudolok	kudolom
sövítedik	sövítedek	sövítedem
vűgesűgölik	vűgesűgölök	vűgesűgölöm
lésítezik	lésítezek	lésítezem
lösöszeledik	lösöszeledek	lösöszeledem
túvílelik	túvílelek	túvílelem
bűlődik	bűlődök	bűlődöm
démitezik	démitezek	démitezem
témüződik	témüződök	témüződöm
sójtózik	sójtózok	sójtózom
gánózik	gánózok	gánózom
fízölelelik	fízölelelek	fízölelelem
dévelezik	dévelezek	dévelezem
küsöngőlik	küsöngőlök	küsöngőlöm
mírekezik	mírekezek	mírekezem
tödínelik	tödínelek	tödínelem
rűritedik	rűritedek	rűritedem
vűkítezik	vűkítezek	vűkítezem
mőtigbüszőntözik	mőtigbüszőntözök	mőtigbüszőntözöm
zámjíledik	zámjíledek	zámjíledem
fírerelik	fírerelek	fírerelem
sölölik	sölölök	sölölöm
kítesztedik	kítesztedek	kítesztedem
lezezik	lezezek	lezezem
bügözik	bügözök	bügözöm
lúlolik	lúlolok	lúlolom
rűpölölik	rűpölölök	rűpölölöm
salfírontólik	salfírontólok	salfírontólom
szetelik	szetelek	szetelem
fupódik	fupódok	fupódom
tüdetezik	tüdetezek	tüdetezem
szizezik	szizezek	szizezem
reszíldelik	reszíldelek	reszíldelem
műmötödik	műmötödök	műmötödöm
lamílezik	lamílezek	lamílezem
beredik	beredek	beredem
dagyitezik	dagyitezek	dagyitezem
sesídürőzik	sesídürőzök	sesídürőzöm
szalodik	szalodok	szalodom
sóltólik	sóltólok	sóltólom
tűszitekétedik	tűszitekétedek	tűszitekétedem
lűlövézedik	lűlövézedek	lűlövézedem
sitedik	sitedek	sitedem
súmlíkezik	súmlíkezek	súmlíkezem
sireléntedik	sireléntedek	sireléntedem
jolszilguzálólik	jolszilguzálólok	jolszilguzálólom
tőszökelélezik	tőszökelélezek	tőszökelélezem
móprílelik	móprílelek	móprílelem
zsorgurgungólik	zsorgurgungólok	zsorgurgungólom
sofalozik	sofalozok	sofalozom
bürölőzik	bürölőzök	bürölőzöm
vúlizedik	vúlizedek	vúlizedem
purgífázózik	purgífázózok	purgífázózom
kédítezik	kédítezek	kédítezem
lurzulódik	lurzulódok	lurzulódom
laguzódik	laguzódok	laguzódom
fozdílótózik	fozdílótózok	fozdílótózom
prűntölik	prűntölök	prűntölöm
fakusólólik	fakusólólok	fakusólólom
vójólik	vójólok	vójólom
bőkölik	bőkölök	bőkölöm
szubatózik	szubatózok	szubatózom
sabruszálozik	sabruszálozok	sabruszálozom
tórózik	tórózok	tórózom
ketügőlik	ketügőlök	ketügőlöm
smérügölik	smérügölök	smérügölöm
gítelik	gítelek	gítelem
dúgólik	dúgólok	dúgólom
püsüdőződik	püsüdőződök	püsüdőződöm
bíkelik	bíkelek	bíkelem
kászlukáríntelik	kászlukáríntelek	kászlukáríntelem
kőkeszezik	kőkeszezek	kőkeszezem
famílezik	famílezek	famílezem
szátolik	szátolok	szátolom
fómutozik	fómutozok	fómutozom
virolgálolik	virolgálolok	virolgálolom
fizbözödik	fizbözödök	fizbözödöm
szitezik	szitezek	szitezem
kítelik	kítelek	kítelem
főpezüsztözik	főpezüsztözök	főpezüsztözöm
paratozik	paratozok	paratozom
nűvörüködik	nűvörüködök	nűvörüködöm
zéjtezik	zéjtezek	zéjtezem
gölőzik	gölőzök	gölőzöm
kűrneveszézezik	kűrneveszézezek	kűrneveszézezem
pévöndödik	pévöndödök	pévöndödöm
küvötyűtödik	küvötyűtödök	küvötyűtödöm
tadidazolik	tadidazolok	tadidazolom
vinyoljólódik	vinyoljólódok	vinyoljólódom
tölölik	tölölök	tölölöm
nákózik	nákózok	nákózom
tevüzetezik	tevüzetezek	tevüzetezem
bürődik	bürődök	bürődöm
gokolik	gokolok	gokolom
sprevütözik	sprevütözök	sprevütözöm
róritedik	róritedek	róritedem
tőtőlik	tőtőlök	tőtőlöm
lebesztezik	lebesztezek	lebesztezem
kokózik	kokózok	kokózom
pűtígyirgelezik	pűtígyirgelezek	pűtígyirgelezem
firízedik	firízedek	firízedem
tirvulodik	tirvulodok	tirvulodom
vínedik	vínedek	vínedem
sijtezik	sijtezek	sijtezem
trodutólik	trodutólok	trodutólom
makólik	makólok	makólom
rízelik	rízelek	rízelem
mamjílelik	mamjílelek	mamjílelem
nörütölik	nörütölök	nörütölöm
kirízezik	kirízezek	kirízezem
líbukodik	líbukodok	líbukodom
völízezik	völízezek	völízezem
remöződik	remöződök	remöződöm
dusolozólik	dusolozólok	dusolozólom
külütőlik	külütőlök	külütőlöm
berjegedik	berjegedek	berjegedem
szibatódik	szibatódok	szibatódom
mülmögőlik	mülmögőlök	mülmögőlöm
pröszösűgözik	pröszösűgözök	pröszösűgözöm
bézögüködik	bézögüködök	bézögüködöm
vűgödik	vűgödök	vűgödöm
vagrozozik	vagrozozok	vagrozozom
fugízezik	fugízezek	fugízezem
sébíkezik	sébíkezek	sébíkezem
líbazitelik	líbazitelek	líbazitelem
bumamúvinezik	bumamúvinezek	bumamúvinezem
purdalólik	purdalólok	purdalólom
küzekelik	küzekelek	küzekelem
vofamlágolik	vofamlágolok	vofamlágolom
fődütőzik	fődütőzök	fődütőzöm
trurzutozik	trurzutozok	trurzutozom
tíszozikezik	tíszozikezek	tíszozikezem
gedezik	gedezek	gedezem
fűlüvűkölik	fűlüvűkölök	fűlüvűkölöm
tőnyevelezik	tőnyevelezek	tőnyevelezem
doszolik	doszolok	doszolom
tíkokózik	tíkokózok	tíkokózom
böltőlik	böltőlök	böltőlöm
vűbülőlik	vűbülőlök	vűbülőlöm
mördíszűlödik	mördíszűlödök	mördíszűlödöm
memirémkizelik	memirémkizelek	memirémkizelem
líltarozik	líltarozok	líltarozom
pozgasándodik	pozgasándodok	pozgasándodom
dízsükőkőzik	dízsükőkőzök	dízsükőkőzöm
vőrílelik	vőrílelek	vőrílelem
vökőzik	vökőzök	vökőzöm
dedetekezik	dedetekezek	dedetekezem
fütözőlik	fütözőlök	fütözőlöm
szűlödik	szűlödök	szűlödöm
tevitedik	tevitedek	tevitedem
szűberelik	szűberelek	szűberelem
vutódik	vutódok	vutódom
ríkedik	ríkedek	ríkedem
vűrmíszégelik	vűrmíszégelek	vűrmíszégelem
pögödik	pögödök	pögödöm
mükölődik	mükölődök	mükölődöm
kürőlik	kürőlök	kürőlöm
mijküzőzik	mijküzőzök	mijküzőzöm
lokololik	lokololok	lokololom
tűkimélüződik	tűkimélüződök	tűkimélüződöm
danodik	danodok	danodom
fágyongolik	fágyongolok	fágyongolom
pukolik	pukolok	pukolom
sakokólik	sakokólok	sakokólom
szigadudúntodik	szigadudúntodok	szigadudúntodom
pászofátózik	pászofátózok	pászofátózom
tűtekőzürölik	tűtekőzürölök	tűtekőzürölöm
trízedik	trízedek	trízedem
vótózik	vótózok	vótózom
fagolólik	fagolólok	fagolólom
pűlijtedik	pűlijtedek	pűlijtedem
prelelik	prelelek	prelelem
vüsütődik	vüsütődök	vüsütődöm
lóngódik	lóngódok	lóngódom
szödítezik	szödítezek	szödítezem
mubuságólik	mubuságólok	mubuságólom
stózakodik	stózakodok	stózakodom
prőtödik	prőtödök	prőtödöm
núdakodik	núdakodok	núdakodom
zsíltelik	zsíltelek	zsíltelem
füzőzik	füzőzök	füzőzöm
szügödik	szügödök	szügödöm
sügzizelik	sügzizelek	sügzizelem
bükülözik	bükülözök	bükülözöm
fulodik	fulodok	fulodom
tüsülődik	tüsülődök	tüsülődöm
kígyozolik	kígyozolok	kígyozolom
tüzödik	tüzödök	tüzödöm
kidüközik	kidüközök	kidüközöm
főgődik	főgődök	főgődöm
gószigónólodik	gószigónólodok	gószigónólodom
taszokórátózik	taszokórátózok	taszokórátózom
tűdededik	tűdededek	tűdededem
grutodik	grutodok	grutodom
solatrólukodik	solatrólukodok	solatrólukodom
kügösztőzik	kügösztőzök	kügösztőzöm
nűmekelik	nűmekelek	nűmekelem
tapólik	tapólok	tapólom
tílezik	tílezek	tílezem
kísztutólik	kísztutólok	kísztutólom
pőtödik	pőtödök	pőtödöm
vüzözőzik	vüzözőzök	vüzözőzöm
tösönzüszőzik	tösönzüszőzök	tösönzüszőzöm
mísoralózik	mísoralózok	mísoralózom
föpötölik	föpötölök	föpötölöm
mölödik	mölödök	mölödöm
zsángózik	zsángózok	zsángózom
gűkődik	gűkődök	gűkődöm
pőkümönőlik	pőkümönőlök	pőkümönőlöm
jololik	jololok	jololom
fósofukudódik	fósofukudódok	fósofukudódom
prürőzik	prürőzök	prürőzöm
vűlödik	vűlödök	vűlödöm
zöristörözik	zöristörözök	zöristörözöm
vüfekedik	vüfekedek	vüfekedem
sídtötőzik	sídtötőzök	sídtötőzöm
kűzölik	kűzölök	kűzölöm
nitedik	nitedek	nitedem
nökőlik	nökőlök	nökőlöm
bukolik	bukolok	bukolom
pálodik	pálodok	pálodom
lómólik	lómólok	lómólom
mútozik	mútozok	mútozom
szészededik	szészededek	szészededem
kálolik	kálolok	kálolom
jezezik	jezezek	jezezem
lólolik	lólolok	lólolom
mimölőlik	mimölőlök	mimölőlöm
lémörzsíledik	lémörzsíledek	lémörzsíledem
mátgarzánodik	mátgarzánodok	mátgarzánodom
kótolik	kótolok	kótolom
votikugólik	votikugólok	votikugólom
vézílelik	vézílelek	vézílelem
solozik	solozok	solozom
dődízedik	dődízedek	dődízedem
jikezik	jikezek	jikezem
lólozik	lólozok	lólozom
vulólik	vulólok	vulólom
séketezik	séketezek	séketezem
getezik	getezek	getezem
buptifátódik	buptifátódok	buptifátódom
fénedik	fénedek	fénedem
fálodik	fálodok	fálodom
kúzolik	kúzolok	kúzolom
volarkálózik	volarkálózok	volarkálózom
rőrgisztezik	rőrgisztezek	rőrgisztezem
subolodik	subolodok	subolodom
tirufirzatodik	tirufirzatodok	tirufirzatodom
drúnodik	drúnodok	drúnodom
kávodolik	kávodolok	kávodolom
lűkökődik	lűkökődök	lűkökődöm
loríkedik	loríkedek	loríkedem
disulózik	disulózok	disulózom
lárizedik	lárizedek	lárizedem
sólódik	sólódok	sólódom
süszetedik	süszetedek	süszetedem
günylílezik	günylílezek	günylílezem
tónozik	tónozok	tónozom
tütőlik	tütőlök	tütőlöm
pétülőzik	pétülőzök	pétülőzöm
pémbölüzöltödik	pémbölüzöltödök	pémbölüzöltödöm
krűkölik	krűkölök	krűkölöm
vősütölik	vősütölök	vősütölöm
kozantumokolik	kozantumokolok	kozantumokolom
jókudólólik	jókudólólok	jókudólólom
szürikütődik	szürikütődök	szürikütődöm
pinevűlödik	pinevűlödök	pinevűlödöm
pokózik	pokózok	pokózom
gídvelezik	gídvelezek	gídvelezem
tódkíszelik	tódkíszelek	tódkíszelem
mejibézezik	mejibézezek	mejibézezem
kugítedik	kugítedek	kugítedem
förjízezik	förjízezek	förjízezem
kipögözik	kipögözök	kipögözöm
lostilezik	lostilezek	lostilezem
szürküzdülőlik	szürküzdülőlök	szürküzdülőlöm
prűgösztölik	prűgösztölök	prűgösztölöm
vőrtödik	vőrtödök	vőrtödöm
sztásudzósztolólik	sztásudzósztolólok	sztásudzósztolólom
tofíkúrólik	tofíkúrólok	tofíkúrólom
vóvalolik	vóvalolok	vóvalolom
vödőlik	vödőlök	vödőlöm
foritezik	foritezek	foritezem
dőtölik	dőtölök	dőtölöm
kúldolik	kúldolok	kúldolom
gidezelik	gidezelek	gidezelem
dálódik	dálódok	dálódom
kűkötödik	kűkötödök	kűkötödöm
pődezüzödik	pődezüzödök	pődezüzödöm
kízololik	kízololok	kízololom
pülőzik	pülőzök	pülőzöm
főndümíkezik	főndümíkezek	főndümíkezem
kávíledik	kávíledek	kávíledem
molólik	molólok	molólom
detelezik	detelezek	detelezem
sökölőzik	sökölőzök	sökölőzöm
vitötűlűdődik	vitötűlűdődök	vitötűlűdődöm
sénekelik	sénekelek	sénekelem
vurozozik	vurozozok	vurozozom
rilelik	rilelek	rilelem
jukódik	jukódok	jukódom
vínelik	vínelek	vínelem
zegezik	zegezek	zegezem
srüzözik	srüzözök	srüzözöm
kögüközik	kögüközök	kögüközöm
grászozozik	grászozozok	grászozozom
kázózik	kázózok	kázózom
fifünözik	fifünözök	fifünözöm
szalolik	szalolok	szalolom
vőzürtödik	vőzürtödök	vőzürtödöm
tínezik	tínezek	tínezem
tíkelik	tíkelek	tíkelem
szukurjúlozik	szukurjúlozok	szukurjúlozom
tongólik	tongólok	tongólom
dákuntolik	dákuntolok	dákuntolom
relezik	relezek	relezem
bükőzik	bükőzök	bükőzöm
südülögyizelik	südülögyizelek	südülögyizelem
rábokozik	rábokozok	rábokozom
tegekelik	tegekelek	tegekelem
főbinezik	főbinezek	főbinezem
sirelelik	sirelelek	sirelelem
bőmürjíkedik	bőmürjíkedek	bőmürjíkedem
pünözik	pünözök	pünözöm
tífötödik	tífötödök	tífötödöm
diledik	diledek	diledem
négezik	négezek	négezem
lávolólik	lávolólok	lávolólom
degezik	degezek	degezem
tékükőlik	tékükőlök	tékükőlöm
kuzokódik	kuzokódok	kuzokódom
pötőlik	pötőlök	pötőlöm
köjöszegedik	köjöszegedek	köjöszegedem
tézelik	tézelek	tézelem
kuvuzódik	kuvuzódok	kuvuzódom
fíredik	fíredek	fíredem
vulutólik	vulutólok	vulutólom
vúlolik	vúlolok	vúlolom
pegelik	pegelek	pegelem
sitilezik	sitilezek	sitilezem
bófokógolik	bófokógolok	bófokógolom
vúdizelik	vúdizelek	vúdizelem
szezínyülőlőzik	szezínyülőlőzök	szezínyülőlőzöm
tövötölik	tövötölök	tövötölöm
dákurodíkedik	dákurodíkedek	dákurodíkedem
spregüjtödik	spregüjtödök	spregüjtödöm
lekezik	lekezek	lekezem
pudíledik	pudíledek	pudíledem
telülőzik	telülőzök	telülőzöm
mölőzik	mölőzök	mölőzöm
zényíledik	zényíledek	zényíledem
jáglantazódik	jáglantazódok	jáglantazódom
díkedik	díkedek	díkedem
dőntökütűkőlik	dőntökütűkőlök	dőntökütűkőlöm
pűpültözik	pűpültözök	pűpültözöm
fálsuródik	fálsuródok	fálsuródom
mőzözik	mőzözök	mőzözöm
kúbibáljokódik	kúbibáljokódok	kúbibáljokódom
gámanozik	gámanozok	gámanozom
tékedik	tékedek	tékedem
séretüződik	séretüződök	séretüződöm
mókolodik	mókolodok	mókolodom
kalólik	kalólok	kalólom
kákózik	kákózok	kákózom
pénünőlik	pénünőlök	pénünőlöm
tipozolik	tipozolok	tipozolom
válolik	válolok	válolom
nürdölőlik	nürdölőlök	nürdölőlöm
dadulólik	dadulólok	dadulólom
zarólik	zarólok	zarólom
sipszozódik	sipszozódok	sipszozódom
metkitedik	metkitedek	metkitedem
zsápodik	zsápodok	zsápodom
rúzodik	rúzodok	rúzodom
szüvenyélmelelik	szüvenyélmelelek	szüvenyélmelelem
sőzőzik	sőzőzök	sőzőzöm
vembeledik	vembeledek	vembeledem
mukunokólódik	mukunokólódok	mukunokólódom
zópulákulodik	zópulákulodok	zópulákulodom
fókódik	fókódok	fókódom
mulodik	mulodok	mulodom
zíreledik	zíreledek	zíreledem
ranvajlazozik	ranvajlazozok	ranvajlazozom
szokolik	szokolok	szokolom
pözüpikikezik	pözüpikikezek	pözüpikikezem
zűmikedik	zűmikedek	zűmikedem
vokutódik	vokutódok	vokutódom
lolólik	lolólok	lolólom
ralutozik	ralutozok	ralutozom
dűpötőzik	dűpötőzök	dűpötőzöm
jílmísztedik	jílmísztedek	jílmísztedem
güdösztődik	güdösztődök	güdösztődöm
sűrüzölik	sűrüzölök	sűrüzölöm
sztedelik	sztedelek	sztedelem
túsikedik	túsikedek	túsikedem
fekekelik	fekekelek	fekekelem
vűltülőlik	vűltülőlök	vűltülőlöm
lúrorúkódik	lúrorúkódok	lúrorúkódom
tőngyülőlik	tőngyülőlök	tőngyülőlöm
túgokólik	túgokólok	túgokólom
pásudádólik	pásudádólok	pásudádólom
sűlfítedik	sűlfítedek	sűlfítedem
ríkelik	ríkelek	ríkelem
fortaszólik	fortaszólok	fortaszólom
rűkőlik	rűkőlök	rűkőlöm
tőzürkűközik	tőzürkűközök	tőzürkűközöm
sigyorabakódik	sigyorabakódok	sigyorabakódom
funyanyotodik	funyanyotodok	funyanyotodom
rőskikezik	rőskikezek	rőskikezem
tőzödik	tőzödök	tőzödöm
nágotúszáltólik	nágotúszáltólok	nágotúszáltólom
dékedik	dékedek	dékedem
mümímlőkődik	mümímlőkődök	mümímlőkődöm
súkoránólik	súkoránólok	súkoránólom
vűrölőlik	vűrölőlök	vűrölőlöm
súngamokúpozik	súngamokúpozok	súngamokúpozom
vüldövösőzözik	vüldövösőzözök	vüldövösőzözöm
lűlödik	lűlödök	lűlödöm
pezürtyőkőlik	pezürtyőkőlök	pezürtyőkőlöm
fútólik	fútólok	fútólom
tüdözik	tüdözök	tüdözöm
lülődik	lülődök	lülődöm
nédítelik	nédítelek	nédítelem
pípedik	pípedek	pípedem
bobífátózik	bobífátózok	bobífátózom
larkantolik	larkantolok	larkantolom
tapalózik	tapalózok	tapalózom
szirszervülőzik	szirszervülőzök	szirszervülőzöm
kitekezik	kitekezek	kitekezem
prulólik	prulólok	prulólom
púkidvámántózik	púkidvámántózok	púkidvámántózom
búvuvárózik	búvuvárózok	búvuvárózom
ridurtízezik	ridurtízezek	ridurtízezem
rütözik	rütözök	rütözöm
trőpítivékezik	trőpítivékezek	trőpítivékezem
fuklífugolik	fuklífugolok	fuklífugolom
pütőzik	pütőzök	pütőzöm
tenyzíkőlödik	tenyzíkőlödök	tenyzíkőlödöm
kúzontodik	kúzontodok	kúzontodom
stekengedik	stekengedek	stekengedem
vözílelik	vözílelek	vözílelem
sítelik	sítelek	sítelem
dulódik	dulódok	dulódom
kidülőzik	kidülőzök	kidülőzöm
skázolik	skázolok	skázolom
szűdölik	szűdölök	szűdölöm
tegelik	tegelek	tegelem
vükejtelik	vükejtelek	vükejtelem
tékörvűrőtölik	tékörvűrőtölök	tékörvűrőtölöm
mútutolik	mútutolok	mútutolom
rélelik	rélelek	rélelem
kővílezik	kővílezek	kővílezem
dekedik	dekedek	dekedem
kőföblözödik	kőföblözödök	kőföblözödöm
lekilezik	lekilezek	lekilezem
szégígedik	szégígedek	szégígedem
sődimődődik	sődimődődök	sődimődődöm
rábagodik	rábagodok	rábagodom
gegezik	gegezek	gegezem
preszülűlőzik	preszülűlőzök	preszülűlőzöm
kíszünözik	kíszünözök	kíszünözöm
denezik	denezek	denezem
lümülödik	lümülödök	lümülödöm
röselezik	röselezek	röselezem
fügődik	fügődök	fügődöm
bédedik	bédedek	bédedem
gáfatózik	gáfatózok	gáfatózom
lüsztőzik	lüsztőzök	lüsztőzöm
rörözözik	rörözözök	rörözözöm
mésülölik	mésülölök	mésülölöm
bönyígőlölik	bönyígőlölök	bönyígőlölöm
prálgofutozik	prálgofutozok	prálgofutozom
tűdegyöntölik	tűdegyöntölök	tűdegyöntölöm
rúrosítedik	rúrosítedek	rúrosítedem
lagólik	lagólok	lagólom
zífazozik	zífazozok	zífazozom
tadarugózik	tadarugózok	tadarugózom
rűzőlik	rűzőlök	rűzőlöm
lazutozik	lazutozok	lazutozom
nangolozik	nangolozok	nangolozom
sítojololik	sítojololok	sítojololom
tóglobónódik	tóglobónódok	tóglobónódom
lotorítelik	lotorítelek	lotorítelem
gebüplüsöpődik	gebüplüsöpődök	gebüplüsöpődöm
müföngőzik	müföngőzök	müföngőzöm
fútodik	fútodok	fútodom
döződik	döződök	döződöm
mutódik	mutódok	mutódom
pinelik	pinelek	pinelem
mőlődik	mőlődök	mőlődöm
zetölűlölik	zetölűlölök	zetölűlölöm
búkolik	búkolok	búkolom
kibölözik	kibölözök	kibölözöm
ferülütözik	ferülütözök	ferülütözöm
sziszelik	sziszelek	sziszelem
vűsölölik	vűsölölök	vűsölölöm
fevüzözik	fevüzözök	fevüzözöm
vögőlik	vögőlök	vögőlöm
fűrídezik	fűrídezek	fűrídezem
kűszitezik	kűszitezek	kűszitezem
sópikedik	sópikedek	sópikedem
tükőlik	tükőlök	tükőlöm
séreledik	séreledek	séreledem
prikelik	prikelek	prikelem
ríngezik	ríngezek	ríngezem
spevlíkelik	spevlíkelek	spevlíkelem
szunízezik	szunízezek	szunízezem
lütölgélezik	lütölgélezek	lütölgélezem
búmbangolik	búmbangolok	búmbangolom
