word	lakok	lakom
gítatozik	gítatozok	gítatozom
mukódik	mukódok	mukódom
mitezik	mitezek	mitezem
fikezik	fikezek	fikezem
jijölölik	jijölölök	jijölölöm
szökölödik	szökölödök	szökölödöm
sakítedik	sakítedek	sakítedem
takolik	takolok	takolom
szükődik	szükődök	szükődöm
tívuszótúgodik	tívuszótúgodok	tívuszótúgodom
vamugyazolik	vamugyazolok	vamugyazolom
böfízűlözik	böfízűlözök	böfízűlözöm
műlőlik	műlőlök	műlőlöm
völőzik	völőzök	völőzöm
rúszazgalíledik	rúszazgalíledek	rúszazgalíledem
dősöjtölik	dősöjtölök	dősöjtölöm
lálíntelik	lálíntelek	lálíntelem
dakalozik	dakalozok	dakalozom
dídvokólik	dídvokólok	dídvokólom
plelönőlik	plelönőlök	plelönőlöm
bűszükelezik	bűszükelezek	bűszükelezem
kogodik	kogodok	kogodom
ríküzölik	ríküzölök	ríküzölöm
gulozik	gulozok	gulozom
kűközik	kűközök	kűközöm
vokingelik	vokingelek	vokingelem
rófítezik	rófítezek	rófítezem
nikelik	nikelek	nikelem
pűrejtedik	pűrejtedek	pűrejtedem
vözözik	vözözök	vözözöm
tílelik	tílelek	tílelem
lónódik	lónódok	lónódom
tötekelik	tötekelek	tötekelem
delezik	delezek	delezem
sölödik	sölödök	sölödöm
selelik	selelek	selelem
szazozolik	szazozolok	szazozolom
kekökőlik	kekökőlök	kekökőlöm
szérbölölik	szérbölölök	szérbölölöm
fígezik	fígezek	fígezem
takikezik	takikezek	takikezem
válodik	válodok	válodom
löfüzözik	löfüzözök	löfüzözöm
mügőlik	mügőlök	mügőlöm
pidöműtölik	pidöműtölök	pidöműtölöm
kurozútínelik	kurozútínelek	kurozútínelem
műnyípedik	műnyípedek	műnyípedem
mügötözik	mügötözök	mügötözöm
sélezik	sélezek	sélezem
pündörölik	pündörölök	pündörölöm
tutíkelik	tutíkelek	tutíkelem
rővüködik	rővüködök	rővüködöm
pűlölik	pűlölök	pűlölöm
tíszedekedik	tíszedekedek	tíszedekedem
kúsotózik	kúsotózok	kúsotózom
bíszinagozik	bíszinagozok	bíszinagozom
dözőlik	dözőlök	dözőlöm
vőlötödik	vőlötödök	vőlötödöm
kijukutolik	kijukutolok	kijukutolom
pezedik	pezedek	pezedem
bezezik	bezezek	bezezem
kitutolik	kitutolok	kitutolom
kászkavulólik	kászkavulólok	kászkavulólom
tókózik	tókózok	tókózom
kásztolik	kásztolok	kásztolom
nüdőzik	nüdőzök	nüdőzöm
kulozólik	kulozólok	kulozólom
spitelik	spitelek	spitelem
kitelik	kitelek	kitelem
gortólik	gortólok	gortólom
vözödik	vözödök	vözödöm
lászutodik	lászutodok	lászutodom
bítelik	bítelek	bítelem
laglusakodik	laglusakodok	laglusakodom
kizelik	kizelek	kizelem
vozizedik	vozizedek	vozizedem
rőkőlik	rőkőlök	rőkőlöm
bíjísdéledik	bíjísdéledek	bíjísdéledem
vudutódik	vudutódok	vudutódom
mövezseltelik	mövezseltelek	mövezseltelem
szitítedelik	szitítedelek	szitítedelem
rezükőzik	rezükőzök	rezükőzöm
vekedéledik	vekedéledek	vekedéledem
juzódik	juzódok	juzódom
mokólik	mokólok	mokólom
prasulodik	prasulodok	prasulodom
vőkebüszűlödik	vőkebüszűlödök	vőkebüszűlödöm
dolodik	dolodok	dolodom
funidólódik	funidólódok	funidólódom
vugozik	vugozok	vugozom
tezelik	tezelek	tezelem
ribiledik	ribiledek	ribiledem
pegyüködik	pegyüködök	pegyüködöm
nísztezik	nísztezek	nísztezem
rugílelik	rugílelek	rugílelem
govízálodik	govízálodok	govízálodom
mítüsgötődik	mítüsgötődök	mítüsgötődöm
tutozik	tutozok	tutozom
támuzólik	támuzólok	támuzólom
vurtozik	vurtozok	vurtozom
reszedelik	reszedelek	reszedelem
lísebikedik	lísebikedek	lísebikedem
jasizezik	jasizezek	jasizezem
kögőlik	kögőlök	kögőlöm
kaluntolik	kaluntolok	kaluntolom
móndalodik	móndalodok	móndalodom
líldelik	líldelek	líldelem
povolozik	povolozok	povolozom
kevötőzik	kevötőzök	kevötőzöm
kátodik	kátodok	kátodom
bódolik	bódolok	bódolom
pufulodik	pufulodok	pufulodom
fányakúlólik	fányakúlólok	fányakúlólom
főkődik	főkődök	főkődöm
vozdubúmodik	vozdubúmodok	vozdubúmodom
dulrolódik	dulrolódok	dulrolódom
bulodik	bulodok	bulodom
zororózik	zororózok	zororózom
műlözik	műlözök	műlözöm
bezezezik	bezezezek	bezezezem
mődüzőzik	mődüzőzök	mődüzőzöm
szölölik	szölölök	szölölöm
bűdeföződik	bűdeföződök	bűdeföződöm
ledítedik	ledítedek	ledítedem
fitusúlórólik	fitusúlórólok	fitusúlórólom
disasztózik	disasztózok	disasztózom
mörizedik	mörizedek	mörizedem
mürtözik	mürtözök	mürtözöm
núgodik	núgodok	núgodom
vólakotozik	vólakotozok	vólakotozom
bípabúfuzólik	bípabúfuzólok	bípabúfuzólom
szenirezik	szenirezek	szenirezem
stoltizótozik	stoltizótozok	stoltizótozom
bülölik	bülölök	bülölöm
mőtödik	mőtödök	mőtödöm
pübülőlik	pübülőlök	pübülőlöm
kemülődik	kemülődök	kemülődöm
láruszozíkezik	láruszozíkezek	láruszozíkezem
zőpizezik	zőpizezek	zőpizezem
bóbupúvíledik	bóbupúvíledek	bóbupúvíledem
kediledik	kediledek	kediledem
fűnyikezik	fűnyikezek	fűnyikezem
matuzódik	matuzódok	matuzódom
lörlülözik	lörlülözök	lörlülözöm
temülözik	temülözök	temülözöm
gékezik	gékezek	gékezem
febikelik	febikelek	febikelem
fákólik	fákólok	fákólom
ruvíkelik	ruvíkelek	ruvíkelem
rűpelelik	rűpelelek	rűpelelem
kűmídűkölölik	kűmídűkölölök	kűmídűkölölöm
fűnörílelik	fűnörílelek	fűnörílelem
bázulozik	bázulozok	bázulozom
folmugózik	folmugózok	folmugózom
jűtümlűködik	jűtümlűködök	jűtümlűködöm
ladolózik	ladolózok	ladolózom
púsztódik	púsztódok	púsztódom
tőnőlik	tőnőlök	tőnőlöm
sizelik	sizelek	sizelem
büselölőlik	büselölőlök	büselölőlöm
fafutozik	fafutozok	fafutozom
fúntolik	fúntolok	fúntolom
vungusalózik	vungusalózok	vungusalózom
rűlőlik	rűlőlök	rűlőlöm
funtukólik	funtukólok	funtukólom
fáfatózik	fáfatózok	fáfatózom
szölőzik	szölőzök	szölőzöm
luridezik	luridezek	luridezem
köfesztedik	köfesztedek	köfesztedem
ratólik	ratólok	ratólom
malokímasodik	malokímasodok	malokímasodom
geszükődik	geszükődök	geszükődöm
tülirtezik	tülirtezek	tülirtezem
kígödőzik	kígödőzök	kígödőzöm
jüküzölik	jüküzölök	jüküzölöm
tözimezülözik	tözimezülözök	tözimezülözöm
détülögözik	détülögözök	détülögözöm
molisotólodik	molisotólodok	molisotólodom
rúkolik	rúkolok	rúkolom
dökölik	dökölök	dökölöm
dákolik	dákolok	dákolom
szipözödik	szipözödök	szipözödöm
gatolik	gatolok	gatolom
kőrötődik	kőrötődök	kőrötődöm
püszörékedik	püszörékedek	püszörékedem
muszatuzozik	muszatuzozok	muszatuzozom
míkedik	míkedek	míkedem
pólulózik	pólulózok	pólulózom
kusotodik	kusotodok	kusotodom
vafogolik	vafogolok	vafogolom
sűzözik	sűzözök	sűzözöm
násupólik	násupólok	násupólom
böstigedik	böstigedek	böstigedem
nízotodik	nízotodok	nízotodom
rűdödik	rűdödök	rűdödöm
kédörölik	kédörölök	kédörölöm
rolodik	rolodok	rolodom
vótolik	vótolok	vótolom
midedik	midedek	midedem
zörödik	zörödök	zörödöm
lízelik	lízelek	lízelem
fígyodozik	fígyodozok	fígyodozom
ramilelik	ramilelek	ramilelem
mürülőzik	mürülőzök	mürülőzöm
fukogólódik	fukogólódok	fukogólódom
bótodik	bótodok	bótodom
vokodik	vokodok	vokodom
kudodik	kudodok	kudodom
mazodik	mazodok	mazodom
kűzikízitezik	kűzikízitezek	kűzikízitezem
sámazolik	sámazolok	sámazolom
kúladotózik	kúladotózok	kúladotózom
petörsetelik	petörsetelek	petörsetelem
lígelik	lígelek	lígelem
kőkünilelik	kőkünilelek	kőkünilelem
vözüsztőlik	vözüsztőlök	vözüsztőlöm
müzelködrükőlik	müzelködrükőlök	müzelködrükőlöm
fegükősztözik	fegükősztözök	fegükősztözöm
dözükődik	dözükődök	dözükődöm
jistyukozik	jistyukozok	jistyukozom
ralozik	ralozok	ralozom
bülődik	bülődök	bülődöm
tülölik	tülölök	tülölöm
rűszölik	rűszölök	rűszölöm
vüzelelik	vüzelelek	vüzelelem
bikenelik	bikenelek	bikenelem
zsurlulozik	zsurlulozok	zsurlulozom
lűtörkütödik	lűtörkütödök	lűtörkütödöm
pügődik	pügődök	pügődöm
dulmagódik	dulmagódok	dulmagódom
kósogólik	kósogólok	kósogólom
vónymugólik	vónymugólok	vónymugólom
básztolik	básztolok	básztolom
sőbüdökőlik	sőbüdökőlök	sőbüdökőlöm
kótózik	kótózok	kótózom
lírdilelik	lírdilelek	lírdilelem
zulotozik	zulotozok	zulotozom
külőlik	külőlök	külőlöm
szodolik	szodolok	szodolom
kösmöntődik	kösmöntődök	kösmöntődöm
pinvötődik	pinvötődök	pinvötődöm
ríbölözik	ríbölözök	ríbölözöm
sűtekelik	sűtekelek	sűtekelem
tífíledik	tífíledek	tífíledem
gásztozik	gásztozok	gásztozom
vútózik	vútózok	vútózom
mírezik	mírezek	mírezem
nogyadódik	nogyadódok	nogyadódom
tújtuvolik	tújtuvolok	tújtuvolom
rifütőlik	rifütőlök	rifütőlöm
fizelik	fizelek	fizelem
szürödik	szürödök	szürödöm
piveksűrölik	piveksűrölök	piveksűrölöm
fulódik	fulódok	fulódom
dúkokájzolik	dúkokájzolok	dúkokájzolom
tózodik	tózodok	tózodom
mópodik	mópodok	mópodom
túkukolik	túkukolok	túkukolom
szészekedik	szészekedek	szészekedem
förízűlözik	förízűlözök	förízűlözöm
kúkózik	kúkózok	kúkózom
dukugyogozozik	dukugyogozozok	dukugyogozozom
kírolozik	kírolozok	kírolozom
sótózik	sótózok	sótózom
tönölőkőzik	tönölőkőzök	tönölőkőzöm
tőgülőlik	tőgülőlök	tőgülőlöm
küngülölik	küngülölök	küngülölöm
vüvítelik	vüvítelek	vüvítelem
púszultodik	púszultodok	púszultodom
dőrdínkizeldedik	dőrdínkizeldedek	dőrdínkizeldedem
grígarólik	grígarólok	grígarólom
zotolik	zotolok	zotolom
szitelik	szitelek	szitelem
klélelik	klélelek	klélelem
müvetedik	müvetedek	müvetedem
pöpükőlik	pöpükőlök	pöpükőlöm
müröpőgödik	müröpőgödök	müröpőgödöm
míbögödik	míbögödök	míbögödöm
jüpiledik	jüpiledek	jüpiledem
súmalávalózik	súmalávalózok	súmalávalózom
szöfílelik	szöfílelek	szöfílelem
zsedetelik	zsedetelek	zsedetelem
desztelik	desztelek	desztelem
szisölőzik	szisölőzök	szisölőzöm
fugyakódik	fugyakódok	fugyakódom
frölügyetezik	frölügyetezek	frölügyetezem
póltongozik	póltongozok	póltongozom
lamutozodik	lamutozodok	lamutozodom
kírakolik	kírakolok	kírakolom
mölülőzik	mölülőzök	mölülőzöm
fámízezik	fámízezek	fámízezem
szleneredik	szleneredek	szleneredem
girzenögdezedik	girzenögdezedek	girzenögdezedem
rarogolik	rarogolok	rarogolom
bűlötőlik	bűlötőlök	bűlötőlöm
sőködik	sőködök	sőködöm
mőbönőlik	mőbönőlök	mőbönőlöm
fálaszólik	fálaszólok	fálaszólom
gárvulózik	gárvulózok	gárvulózom
puszkozolik	puszkozolok	puszkozolom
túngozik	túngozok	túngozom
mulolik	mulolok	mulolom
páprulozik	páprulozok	páprulozom
pupadódik	pupadódok	pupadódom
brilezik	brilezek	brilezem
kuszorugolik	kuszorugolok	kuszorugolom
mekezik	mekezek	mekezem
szösözözik	szösözözök	szösözözöm
gíldastovarodik	gíldastovarodok	gíldastovarodom
sekörörölik	sekörörölök	sekörörölöm
kűlünődik	kűlünődök	kűlünődöm
szuzatolik	szuzatolok	szuzatolom
möfínelik	möfínelek	möfínelem
lezezezik	lezezezek	lezezezem
zútítedik	zútítedek	zútítedem
fílulódik	fílulódok	fílulódom
tüközik	tüközök	tüközöm
lutolik	lutolok	lutolom
pűrjígelik	pűrjígelek	pűrjígelem
kiregűrődik	kiregűrődök	kiregűrődöm
frátólik	frátólok	frátólom
grákulodik	grákulodok	grákulodom
viledik	viledek	viledem
bövötőzik	bövötőzök	bövötőzöm
börölik	börölök	börölöm
lűlölik	lűlölök	lűlölöm
lőködik	lőködök	lőködöm
fefülődik	fefülődök	fefülődöm
gulódik	gulódok	gulódom
rölőlik	rölőlök	rölőlöm
síledik	síledek	síledem
pűtözik	pűtözök	pűtözöm
boladólik	boladólok	boladólom
titíledik	titíledek	titíledem
sélökölik	sélökölök	sélökölöm
bujozik	bujozok	bujozom
szözüpüközik	szözüpüközök	szözüpüközöm
púrortolik	púrortolok	púrortolom
sútodik	sútodok	sútodom
lubrolákálozik	lubrolákálozok	lubrolákálozom
zónyakódik	zónyakódok	zónyakódom
gíkedik	gíkedek	gíkedem
zsekedik	zsekedek	zsekedem
jolalúlólik	jolalúlólok	jolalúlólom
kölülödik	kölülödök	kölülödöm
plazotilelik	plazotilelek	plazotilelem
gofokutózik	gofokutózok	gofokutózom
kűvíntezezik	kűvíntezezek	kűvíntezezem
gozózik	gozózok	gozózom
tinelik	tinelek	tinelem
fögölik	fögölök	fögölöm
kópatkasózik	kópatkasózok	kópatkasózom
volodik	volodok	volodom
fűbünykekezik	fűbünykekezek	fűbünykekezem
gúgírezik	gúgírezek	gúgírezem
pafangozik	pafangozok	pafangozom
lőpitezik	lőpitezek	lőpitezem
betölölik	betölölök	betölölöm
prúszolik	prúszolok	prúszolom
szürelelik	szürelelek	szürelelem
kákololik	kákololok	kákololom
fipuzutulolik	fipuzutulolok	fipuzutulolom
kölőzik	kölőzök	kölőzöm
jőlükőzik	jőlükőzök	jőlükőzöm
kólozik	kólozok	kólozom
dővegyefélezik	dővegyefélezek	dővegyefélezem
prápidokodik	prápidokodok	prápidokodom
mügödik	mügödök	mügödöm
mamuválolik	mamuválolok	mamuválolom
vózakalodik	vózakalodok	vózakalodom
fatlatodik	fatlatodok	fatlatodom
szulólik	szulólok	szulólom
sűlöködik	sűlöködök	sűlöködöm
káskuvíledik	káskuvíledek	káskuvíledem
vúsizedik	vúsizedek	vúsizedem
bőtszözözik	bőtszözözök	bőtszözözöm
völödik	völödök	völödöm
sátózik	sátózok	sátózom
dokokolik	dokokolok	dokokolom
kózodik	kózodok	kózodom
tőzífödőlik	tőzífödőlök	tőzífödőlöm
misztedik	misztedek	misztedem
köfílelik	köfílelek	köfílelem
szömzsölégelik	szömzsölégelek	szömzsölégelem
szükerizelik	szükerizelek	szükerizelem
prúpalokodik	prúpalokodok	prúpalokodom
káltulódik	káltulódok	káltulódom
rúlózik	rúlózok	rúlózom
stélelik	stélelek	stélelem
fisetezik	fisetezek	fisetezem
póvozalódik	póvozalódok	póvozalódom
pőnődik	pőnődök	pőnődöm
vútolik	vútolok	vútolom
sürtőlik	sürtőlök	sürtőlöm
södütőlik	södütőlök	södütőlöm
vurotivóródik	vurotivóródok	vurotivóródom
kúgózik	kúgózok	kúgózom
dorityúgolik	dorityúgolok	dorityúgolom
ralózik	ralózok	ralózom
kigigezik	kigigezek	kigigezem
bíledik	bíledek	bíledem
rotírúgolik	rotírúgolok	rotírúgolom
dídrüfőkődik	dídrüfőkődök	dídrüfőkődöm
govatódik	govatódok	govatódom
bűpekelik	bűpekelek	bűpekelem
bűgeliledik	bűgeliledek	bűgeliledem
bigtevütőzik	bigtevütőzök	bigtevütőzöm
fózózik	fózózok	fózózom
dizezik	dizezek	dizezem
sikezik	sikezek	sikezem
túnozik	túnozok	túnozom
gídidűzödik	gídidűzödök	gídidűzödöm
fűletedik	fűletedek	fűletedem
lűrdíntedik	lűrdíntedek	lűrdíntedem
lélöködik	lélöködök	lélöködöm
kuzodik	kuzodok	kuzodom
szátózik	szátózok	szátózom
potoródik	potoródok	potoródom
rüdelékelik	rüdelékelek	rüdelékelem
lúmojlírezik	lúmojlírezek	lúmojlírezem
kótódik	kótódok	kótódom
szatólik	szatólok	szatólom
bölölik	bölölök	bölölöm
triledik	triledek	triledem
kíztörélmünőlik	kíztörélmünőlök	kíztörélmünőlöm
száskamkotódik	száskamkotódok	száskamkotódom
degelik	degelek	degelem
brűvendelik	brűvendelek	brűvendelem
káskityigolozik	káskityigolozok	káskityigolozom
jóbísztedik	jóbísztedek	jóbísztedem
selkelezik	selkelezek	selkelezem
játodik	játodok	játodom
kütüdölik	kütüdölök	kütüdölöm
rőpkiközözik	rőpkiközözök	rőpkiközözöm
buputozik	buputozok	buputozom
lutilelik	lutilelek	lutilelem
dulózik	dulózok	dulózom
rógalolik	rógalolok	rógalolom
strölözik	strölözök	strölözöm
fufimbagiszelik	fufimbagiszelek	fufimbagiszelem
bésífőlőzik	bésífőlőzök	bésífőlőzöm
vúgólik	vúgólok	vúgólom
fótafómplulozik	fótafómplulozok	fótafómplulozom
rősükölik	rősükölök	rősükölöm
sórokodik	sórokodok	sórokodom
sönyödözik	sönyödözök	sönyödözöm
stetezik	stetezek	stetezem
tefölőlik	tefölőlök	tefölőlöm
rísegezik	rísegezek	rísegezem
dákodik	dákodok	dákodom
kíkedik	kíkedek	kíkedem
lafozúnozik	lafozúnozok	lafozúnozom
búlíkelik	búlíkelek	búlíkelem
lerötözik	lerötözök	lerötözöm
zilelik	zilelek	zilelem
rüpüszűlőlik	rüpüszűlőlök	rüpüszűlőlöm
pőlözik	pőlözök	pőlözöm
pudunyólúlózik	pudunyólúlózok	pudunyólúlózom
súvolik	súvolok	súvolom
köszífőlörőlik	köszífőlörőlök	köszífőlörőlöm
kédürmélezik	kédürmélezek	kédürmélezem
műsetezik	műsetezek	műsetezem
pűkíledik	pűkíledek	pűkíledem
kúnózik	kúnózok	kúnózom
kúrtózik	kúrtózok	kúrtózom
vítedik	vítedek	vítedem
pűngükőlik	pűngükőlök	pűngükőlöm
tőközik	tőközök	tőközöm
mirökőzik	mirökőzök	mirökőzöm
sőfötözik	sőfötözök	sőfötözöm
kozogozik	kozogozok	kozogozom
riledik	riledek	riledem
vofízezik	vofízezek	vofízezem
dósatukodik	dósatukodok	dósatukodom
sílededik	sílededek	sílededem
rőrpüzőzik	rőrpüzőzök	rőrpüzőzöm
rózatozik	rózatozok	rózatozom
bömütödik	bömütödök	bömütödöm
vülkönöződik	vülkönöződök	vülkönöződöm
fagólik	fagólok	fagólom
vintidedik	vintidedek	vintidedem
sözölödik	sözölödök	sözölödöm
sígetezik	sígetezek	sígetezem
szérülölik	szérülölök	szérülölöm
fúsuzózik	fúsuzózok	fúsuzózom
fámolodik	fámolodok	fámolodom
ránlodolik	ránlodolok	ránlodolom
sótólik	sótólok	sótólom
bezíkezik	bezíkezek	bezíkezem
bászkudálogodik	bászkudálogodok	bászkudálogodom
fözölik	fözölök	fözölöm
lúszozik	lúszozok	lúszozom
kitízezik	kitízezek	kitízezem
miszkimbüzözik	miszkimbüzözök	miszkimbüzözöm
kúdózik	kúdózok	kúdózom
munakutódik	munakutódok	munakutódom
völözik	völözök	völözöm
talulmúródik	talulmúródok	talulmúródom
sziszalolik	sziszalolok	sziszalolom
muzozik	muzozok	muzozom
tákólik	tákólok	tákólom
luzodik	luzodok	luzodom
vútólik	vútólok	vútólom
fürötközözik	fürötközözök	fürötközözöm
pirikezik	pirikezek	pirikezem
nötözik	nötözök	nötözöm
tülödik	tülödök	tülödöm
jonólik	jonólok	jonólom
szézölödik	szézölödök	szézölödöm
burdulólik	burdulólok	burdulólom
vűtölik	vűtölök	vűtölöm
pövüközik	pövüközök	pövüközöm
bololik	bololok	bololom
tubulódik	tubulódok	tubulódom
pevüdölik	pevüdölök	pevüdölöm
múnulolik	múnulolok	múnulolom
mósztódik	mósztódok	mósztódom
jékelik	jékelek	jékelem
kulguzóztigezik	kulguzóztigezek	kulguzóztigezem
vavilezik	vavilezek	vavilezem
kúlózik	kúlózok	kúlózom
szasopotintezik	szasopotintezek	szasopotintezem
tűtölőzik	tűtölőzök	tűtölőzöm
mödözik	mödözök	mödözöm
nínelik	nínelek	nínelem
símítőgőzik	símítőgőzök	símítőgőzöm
tönőlik	tönőlök	tönőlöm
febözöfőzödik	febözöfőzödök	febözöfőzödöm
súlítedik	súlítedek	súlítedem
szezükölik	szezükölök	szezükölöm
küködőgőlik	küködőgőlök	küködőgőlöm
zögöködik	zögöködök	zögöködöm
sűrkölszűtőlik	sűrkölszűtőlök	sűrkölszűtőlöm
jíziszezik	jíziszezek	jíziszezem
dülözik	dülözök	dülözöm
vulodik	vulodok	vulodom
lákilgágólik	lákilgágólok	lákilgágólom
ramogiledik	ramogiledek	ramogiledem
fúpizedik	fúpizedek	fúpizedem
dírvejesztedik	dírvejesztedek	dírvejesztedem
nítedik	nítedek	nítedem
tívuzodik	tívuzodok	tívuzodom
tüküködik	tüküködök	tüküködöm
fivetezik	fivetezek	fivetezem
sprólozik	sprólozok	sprólozom
kébelezik	kébelezek	kébelezem
malísolúgozik	malísolúgozok	malísolúgozom
turílelik	turílelek	turílelem
pűlődik	pűlődök	pűlődöm
kotarkízezik	kotarkízezek	kotarkízezem
dálogozik	dálogozok	dálogozom
tuvuntódik	tuvuntódok	tuvuntódom
tretürősződik	tretürősződök	tretürősződöm
szökölőlik	szökölőlök	szökölőlöm
dűbezezik	dűbezezek	dűbezezem
tetísűtözik	tetísűtözök	tetísűtözöm
júvokótolik	júvokótolok	júvokótolom
pitütölik	pitütölök	pitütölöm
büködik	büködök	büködöm
sozutólik	sozutólok	sozutólom
rügölik	rügölök	rügölöm
gűzezőlözik	gűzezőlözök	gűzezőlözöm
gögődik	gögődök	gögődöm
vőrikedik	vőrikedek	vőrikedem
szűszitezik	szűszitezek	szűszitezem
münylöjkőrőzik	münylöjkőrőzök	münylöjkőrőzöm
súzózik	súzózok	súzózom
vűkődik	vűkődök	vűkődöm
sanvanozik	sanvanozok	sanvanozom
rúzozik	rúzozok	rúzozom
bidütödik	bidütödök	bidütödöm
laszomutódik	laszomutódok	laszomutódom
jodulólik	jodulólok	jodulólom
dőrőlik	dőrőlök	dőrőlöm
potódik	potódok	potódom
töbelezik	töbelezek	töbelezem
fűgövízőlődik	fűgövízőlődök	fűgövízőlődöm
zsétügőzik	zsétügőzök	zsétügőzöm
kufurózik	kufurózok	kufurózom
grülözik	grülözök	grülözöm
girezik	girezek	girezem
külőzik	külőzök	külőzöm
vafívutodik	vafívutodok	vafívutodom
szadolik	szadolok	szadolom
lűkentíledik	lűkentíledek	lűkentíledem
dikanolozik	dikanolozok	dikanolozom
túmolólik	túmolólok	túmolólom
féjtöközik	féjtöközök	féjtöközöm
tülődik	tülődök	tülődöm
bezütödik	bezütödök	bezütödöm
szűlürgötölik	szűlürgötölök	szűlürgötölöm
víkugólik	víkugólok	víkugólom
rözőzik	rözőzök	rözőzöm
fururtozódik	fururtozódok	fururtozódom
kekedik	kekedek	kekedem
tinödünödik	tinödünödök	tinödünödöm
szizölölik	szizölölök	szizölölöm
vuzígedik	vuzígedek	vuzígedem
négüzőlik	négüzőlök	négüzőlöm
köszetezik	köszetezek	köszetezem
tonyutozik	tonyutozok	tonyutozom
szepkötödik	szepkötödök	szepkötödöm
kümilezik	kümilezek	kümilezem
lénlölölik	lénlölölök	lénlölölöm
rékezik	rékezek	rékezem
