base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence	cat1_weight	baseline_gcm_info
aglik	aglik	lakok/lakom	nonce word response	aglok	aglom	12	15	-0.2076393647782445	-lik	1	NA	NA	Te bizony sokat aglasz.	Én is sokat...	0.5859767649053986	q: thirty, s: 0.9, r: 0.5
bihánylik	bihá¥lik	lakok/lakom	nonce word response	bihánylok	bihánylom	21	5	1.2992829841302609	-lik	2	NA	NA	Te bizony sokat bihánylasz.	Én is sokat...	0.45697654005561517	q: thirty, s: 0.9, r: 0.5
bivégszik	bivégßik	lakok/lakom	nonce word response	bivégszek	bivégszem	7	22	-1.0560526742493137	-szik	2	NA	NA	Te bizony sokat bivégszel.	Én is sokat...	0.42045972532442893	q: thirty, s: 0.9, r: 0.5
bivejlik	bivejlik	lakok/lakom	nonce word response	bivejlek	bivejlem	18	8	0.7472144018302211	-lik	2	NA	NA	Te bizony sokat bivejlesz.	Én is sokat...	0.5180080788500805	q: thirty, s: 0.9, r: 0.5
böjzik	böjzik	lakok/lakom	nonce word response	böjzök	böjzöm	14	12	0.14310084364067324	-zik	1	NA	NA	Te bizony sokat böjzöl.	Én is sokat...	0.5556160044343936	q: thirty, s: 0.9, r: 0.5
bölszik	bölßik	lakok/lakom	nonce word response	bölszök	bölszöm	16	11	0.3483066942682158	-szik	1	NA	NA	Te bizony sokat bölszöl.	Én is sokat...	0.49295123844873	q: thirty, s: 0.9, r: 0.5
brágaklik	brágaklik	lakok/lakom	nonce word response	brágaklok	brágaklom	12	17	-0.325422400434628	-lik	2	NA	NA	Te bizony sokat brágaklasz.	Én is sokat...	0.406709791763515	q: thirty, s: 0.9, r: 0.5
brarlik	brarlik	lakok/lakom	nonce word response	brarlok	brarlom	21	6	1.1451323043030026	-lik	1	NA	NA	Te bizony sokat brarlasz.	Én is sokat...	0.5190114919639445	q: thirty, s: 0.9, r: 0.5
brivegzik	brivegzik	lakok/lakom	nonce word response	brivegzek	brivegzem	8	21	-0.8938178760220964	-zik	2	NA	NA	Te bizony sokat brivegzel.	Én is sokat...	0.5223766000634664	q: thirty, s: 0.9, r: 0.5
brobódzik	brobódzik	lakok/lakom	nonce word response	brobódzok	brobódzom	9	18	-0.6418538861723948	-zik	2	NA	NA	Te bizony sokat brobódzol.	Én is sokat...	0.4760764420131411	q: thirty, s: 0.9, r: 0.5
brubzik	brubzik	lakok/lakom	nonce word response	brubzok	brubzom	16	11	0.3483066942682158	-zik	1	NA	NA	Te bizony sokat brubzol.	Én is sokat...	0.5178587615012066	q: thirty, s: 0.9, r: 0.5
brüjlik	brüjlik	lakok/lakom	nonce word response	brüjlök	brüjlöm	18	8	0.7472144018302211	-lik	1	NA	NA	Te bizony sokat brüjlesz.	Én is sokat...	0.5303502637248096	q: thirty, s: 0.9, r: 0.5
büglik	büglik	lakok/lakom	nonce word response	büglök	büglöm	19	7	0.9162907318741552	-lik	1	NA	NA	Te bizony sokat büglesz.	Én is sokat...	0.5594229213687474	q: thirty, s: 0.9, r: 0.5
bűtszik	bűtßik	lakok/lakom	nonce word response	bűtszök	bűtszöm	14	12	0.14310084364067324	-szik	1	NA	NA	Te bizony sokat bűtszöl.	Én is sokat...	0.47165369888122044	q: thirty, s: 0.9, r: 0.5
csíszlik	çíßlik	lakok/lakom	nonce word response	csíszlok	csíszlom	20	9	0.7419373447293773	-lik	1	NA	NA	Te bizony sokat csíszlasz.	Én is sokat...	0.6585757615916884	q: thirty, s: 0.9, r: 0.5
csólorzik	çólorzik	lakok/lakom	nonce word response	csólorzok	csólorzom	10	19	-0.5978370007556204	-zik	2	NA	NA	Te bizony sokat csólorzol.	Én is sokat...	0.5032252294711161	q: thirty, s: 0.9, r: 0.5
driládzik	driládzik	lakok/lakom	nonce word response	driládzok	driládzom	10	19	-0.5978370007556204	-zik	2	NA	NA	Te bizony sokat driládzol.	Én is sokat...	0.5276429192336859	q: thirty, s: 0.9, r: 0.5
drubódzik	drubódzik	lakok/lakom	nonce word response	drubódzok	drubódzom	10	16	-0.4353180712578455	-zik	2	NA	NA	Te bizony sokat drubódzol.	Én is sokat...	0.5078569995296922	q: thirty, s: 0.9, r: 0.5
drügzik	drügzik	lakok/lakom	nonce word response	drügzök	drügzöm	14	13	0.06899287148695142	-zik	1	NA	NA	Te bizony sokat drügzöl.	Én is sokat...	0.4766840989369363	q: thirty, s: 0.9, r: 0.5
düjzik	düjzik	lakok/lakom	nonce word response	düjzök	düjzöm	13	13	0	-zik	1	NA	NA	Te bizony sokat düjzöl.	Én is sokat...	0.5572018501698975	q: thirty, s: 0.9, r: 0.5
féjzik	féjzik	lakok/lakom	nonce word response	féjzek	féjzem	16	10	0.4353180712578455	-zik	1	NA	NA	Te bizony sokat féjzel.	Én is sokat...	0.5356971155888519	q: thirty, s: 0.9, r: 0.5
femlik	femlik	lakok/lakom	nonce word response	femlek	femlem	25	4	1.6486586255873816	-lik	1	NA	NA	Te bizony sokat femlesz.	Én is sokat...	0.5832151498426307	q: thirty, s: 0.9, r: 0.5
feténylik	feté¥lik	lakok/lakom	nonce word response	feténylek	feténylem	23	4	1.5686159179138452	-lik	2	NA	NA	Te bizony sokat feténylesz.	Én is sokat...	0.5081771590989604	q: thirty, s: 0.9, r: 0.5
fibamlik	fibamlik	lakok/lakom	nonce word response	fibamlok	fibamlom	26	3	1.9095425048844383	-lik	2	NA	NA	Te bizony sokat fibamlasz.	Én is sokat...	0.5294935725863933	q: thirty, s: 0.9, r: 0.5
figlik	figlik	lakok/lakom	nonce word response	figlok	figlom	20	9	0.7419373447293773	-lik	1	NA	NA	Te bizony sokat figlasz.	Én is sokat...	0.5537417407632637	q: thirty, s: 0.9, r: 0.5
filágzik	filágzik	lakok/lakom	nonce word response	filágzok	filágzom	7	20	-0.9650808960435872	-zik	2	NA	NA	Te bizony sokat filágzol.	Én is sokat...	0.4750587831795569	q: thirty, s: 0.9, r: 0.5
fivénylik	fivé¥lik	lakok/lakom	nonce word response	fivénylek	fivénylem	20	9	0.7419373447293773	-lik	2	NA	NA	Te bizony sokat fivénylesz.	Én is sokat...	0.527629964040292	q: thirty, s: 0.9, r: 0.5
flagánylik	flagá¥lik	lakok/lakom	nonce word response	flagánylok	flagánylom	22	7	1.0560526742493137	-lik	2	NA	NA	Te bizony sokat flagánylasz.	Én is sokat...	0.4717118273462823	q: thirty, s: 0.9, r: 0.5
flagárzik	flagárzik	lakok/lakom	nonce word response	flagárzok	flagárzom	12	15	-0.2076393647782445	-zik	2	NA	NA	Te bizony sokat flagárzol.	Én is sokat...	0.48236596078902794	q: thirty, s: 0.9, r: 0.5
flátszik	flátßik	lakok/lakom	nonce word response	flátszok	flátszom	11	18	-0.4595323293784402	-szik	1	NA	NA	Te bizony sokat flátszol.	Én is sokat...	0.3118598390423687	q: thirty, s: 0.9, r: 0.5
flehékszik	flehékßik	lakok/lakom	nonce word response	flehékszek	flehékszem	10	19	-0.5978370007556204	-szik	2	NA	NA	Te bizony sokat flehékszel.	Én is sokat...	0.3996223567017229	q: thirty, s: 0.9, r: 0.5
flehénylik	flehé¥lik	lakok/lakom	nonce word response	flehénylek	flehénylem	23	4	1.5686159179138452	-lik	2	NA	NA	Te bizony sokat flehénylesz.	Én is sokat...	0.5442008502118763	q: thirty, s: 0.9, r: 0.5
flérlik	flérlik	lakok/lakom	nonce word response	flérlek	flérlem	23	4	1.5686159179138452	-lik	1	NA	NA	Te bizony sokat flérlesz.	Én is sokat...	0.5058526282051713	q: thirty, s: 0.9, r: 0.5
flibekszik	flibekßik	lakok/lakom	nonce word response	flibekszek	flibekszem	11	18	-0.4595323293784402	-szik	2	NA	NA	Te bizony sokat flibekszel.	Én is sokat...	0.3746237951538336	q: thirty, s: 0.9, r: 0.5
fligzik	fligzik	lakok/lakom	nonce word response	fligzok	fligzom	10	19	-0.5978370007556204	-zik	1	NA	NA	Te bizony sokat fligzol.	Én is sokat...	0.5156493327006837	q: thirty, s: 0.9, r: 0.5
fliraklik	fliraklik	lakok/lakom	nonce word response	fliraklok	fliraklom	13	13	0	-lik	2	NA	NA	Te bizony sokat fliraklasz.	Én is sokat...	0.4297311422431594	q: thirty, s: 0.9, r: 0.5
flitlik	flitlik	lakok/lakom	nonce word response	flitlok	flitlom	25	4	1.6486586255873816	-lik	1	NA	NA	Te bizony sokat flitlasz.	Én is sokat...	0.5101238198667392	q: thirty, s: 0.9, r: 0.5
floglik	floglik	lakok/lakom	nonce word response	floglok	floglom	18	11	0.4595323293784402	-lik	1	NA	NA	Te bizony sokat floglasz.	Én is sokat...	0.5031230689649454	q: thirty, s: 0.9, r: 0.5
flözlik	flözlik	lakok/lakom	nonce word response	flözlök	flözlöm	20	7	0.965080896043587	-lik	1	NA	NA	Te bizony sokat flözlesz.	Én is sokat...	0.5135249770837346	q: thirty, s: 0.9, r: 0.5
flűmlik	flűmlik	lakok/lakom	nonce word response	flűmlök	flűmlöm	24	5	1.4271163556401458	-lik	1	NA	NA	Te bizony sokat flűmlesz.	Én is sokat...	0.5182868348569227	q: thirty, s: 0.9, r: 0.5
flűröklik	flűröklik	lakok/lakom	nonce word response	flűröklök	flűröklöm	17	12	0.32542240043462795	-lik	2	NA	NA	Te bizony sokat flűröklesz.	Én is sokat...	0.5025238114242445	q: thirty, s: 0.9, r: 0.5
flüröslik	flüröslik	lakok/lakom	nonce word response	flüröslök	flüröslöm	20	9	0.7419373447293773	-lik	2	NA	NA	Te bizony sokat flüröslesz.	Én is sokat...	0.5653620257447176	q: thirty, s: 0.9, r: 0.5
frágapszik	frágapßik	lakok/lakom	nonce word response	frágapszok	frágapszom	11	16	-0.3483066942682157	-szik	2	NA	NA	Te bizony sokat frágapszol.	Én is sokat...	0.36957495326635403	q: thirty, s: 0.9, r: 0.5
fretszik	fretßik	lakok/lakom	nonce word response	fretszek	fretszem	13	13	0	-szik	1	NA	NA	Te bizony sokat fretszel.	Én is sokat...	0.4101517095754021	q: thirty, s: 0.9, r: 0.5
frilegszik	frilegßik	lakok/lakom	nonce word response	frilegszek	frilegszem	11	15	-0.2876820724517809	-szik	2	NA	NA	Te bizony sokat frilegszel.	Én is sokat...	0.3931805716215892	q: thirty, s: 0.9, r: 0.5
friszlik	frißlik	lakok/lakom	nonce word response	friszlok	friszlom	15	14	0.06453852113757116	-lik	1	NA	NA	Te bizony sokat friszlasz.	Én is sokat...	0.552931650634572	q: thirty, s: 0.9, r: 0.5
frivajlik	frivajlik	lakok/lakom	nonce word response	frivajlok	frivajlom	21	5	1.2992829841302609	-lik	2	NA	NA	Te bizony sokat frivajlasz.	Én is sokat...	0.5267650877444696	q: thirty, s: 0.9, r: 0.5
frodlik	frodlik	lakok/lakom	nonce word response	frodlok	frodlom	20	9	0.7419373447293773	-lik	1	NA	NA	Te bizony sokat frodlasz.	Én is sokat...	0.5461418967301815	q: thirty, s: 0.9, r: 0.5
gerénylik	geré¥lik	lakok/lakom	nonce word response	gerénylek	gerénylem	23	3	1.791759469228055	-lik	2	NA	NA	Te bizony sokat gerénylesz.	Én is sokat...	0.5324161364180354	q: thirty, s: 0.9, r: 0.5
gilárzik	gilárzik	lakok/lakom	nonce word response	gilárzok	gilárzom	8	21	-0.8938178760220964	-zik	2	NA	NA	Te bizony sokat gilárzol.	Én is sokat...	0.5228663561145064	q: thirty, s: 0.9, r: 0.5
gyibakszik	©ibakßik	lakok/lakom	nonce word response	gyibakszok	gyibakszom	9	17	-0.587786664902119	-szik	2	NA	NA	Te bizony sokat gyibakszol.	Én is sokat...	0.32273179690248116	q: thirty, s: 0.9, r: 0.5
gyibeslik	©ibeslik	lakok/lakom	nonce word response	gyibeslek	gyibeslem	18	9	0.6418538861723947	-lik	2	NA	NA	Te bizony sokat gyibeslesz.	Én is sokat...	0.5609443031434498	q: thirty, s: 0.9, r: 0.5
gyivádzik	©ivádzik	lakok/lakom	nonce word response	gyivádzok	gyivádzom	9	18	-0.6418538861723948	-zik	2	NA	NA	Te bizony sokat gyivádzol.	Én is sokat...	0.5345018776320164	q: thirty, s: 0.9, r: 0.5
herégszik	herégßik	lakok/lakom	nonce word response	herégszek	herégszem	9	18	-0.6418538861723948	-szik	2	NA	NA	Te bizony sokat herégszel.	Én is sokat...	0.3569092697684242	q: thirty, s: 0.9, r: 0.5
hilarzik	hilarzik	lakok/lakom	nonce word response	hilarzok	hilarzom	14	13	0.06899287148695142	-zik	2	NA	NA	Te bizony sokat hilarzol.	Én is sokat...	0.5189885228390589	q: thirty, s: 0.9, r: 0.5
hűgzik	hűgzik	lakok/lakom	nonce word response	hűgzök	hűgzöm	13	13	0	-zik	1	NA	NA	Te bizony sokat hűgzöl.	Én is sokat...	0.5517146394452714	q: thirty, s: 0.9, r: 0.5
huklik	huklik	lakok/lakom	nonce word response	huklok	huklom	13	14	-0.06899287148695143	-lik	1	NA	NA	Te bizony sokat huklasz.	Én is sokat...	0.6062312768571236	q: thirty, s: 0.9, r: 0.5
hurjorzik	hurjorzik	lakok/lakom	nonce word response	hurjorzok	hurjorzom	14	13	0.06899287148695142	-zik	2	NA	NA	Te bizony sokat hurjorzol.	Én is sokat...	0.5585210444201288	q: thirty, s: 0.9, r: 0.5
huroslik	huroslik	lakok/lakom	nonce word response	huroslok	huroslom	22	7	1.0560526742493137	-lik	2	NA	NA	Te bizony sokat huroslasz.	Én is sokat...	0.5784637192339162	q: thirty, s: 0.9, r: 0.5
ibáglik	ibáglik	lakok/lakom	nonce word response	ibáglok	ibáglom	18	9	0.6418538861723947	-lik	2	NA	NA	Te bizony sokat ibáglasz.	Én is sokat...	0.4937061816110235	q: thirty, s: 0.9, r: 0.5
ibékszik	ibékßik	lakok/lakom	nonce word response	ibékszek	ibékszem	10	16	-0.4353180712578455	-szik	2	NA	NA	Te bizony sokat ibékszel.	Én is sokat...	0.40371185426715417	q: thirty, s: 0.9, r: 0.5
jonylik	jo¥lik	lakok/lakom	nonce word response	jonylok	jonylom	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat jonylasz.	Én is sokat...	0.5904042721984248	q: thirty, s: 0.9, r: 0.5
jüslik	jüslik	lakok/lakom	nonce word response	jüslök	jüslöm	20	7	0.965080896043587	-lik	1	NA	NA	Te bizony sokat jüslesz.	Én is sokat...	0.5888709549075136	q: thirty, s: 0.9, r: 0.5
juszlik	jußlik	lakok/lakom	nonce word response	juszlok	juszlom	18	11	0.4595323293784402	-lik	1	NA	NA	Te bizony sokat juszlasz.	Én is sokat...	0.6158693439338677	q: thirty, s: 0.9, r: 0.5
klaráglik	klaráglik	lakok/lakom	nonce word response	klaráglok	klaráglom	20	7	0.965080896043587	-lik	2	NA	NA	Te bizony sokat klaráglasz.	Én is sokat...	0.514823653509375	q: thirty, s: 0.9, r: 0.5
klárzik	klárzik	lakok/lakom	nonce word response	klárzok	klárzom	13	13	0	-zik	1	NA	NA	Te bizony sokat klárzol.	Én is sokat...	0.5369837582206182	q: thirty, s: 0.9, r: 0.5
klétszik	klétßik	lakok/lakom	nonce word response	klétszek	klétszem	11	15	-0.2876820724517809	-szik	1	NA	NA	Te bizony sokat klétszel.	Én is sokat...	0.38596001003467867	q: thirty, s: 0.9, r: 0.5
klibamlik	klibamlik	lakok/lakom	nonce word response	klibamlok	klibamlom	16	10	0.4353180712578455	-lik	2	NA	NA	Te bizony sokat klibamlasz.	Én is sokat...	0.5509869631010949	q: thirty, s: 0.9, r: 0.5
klidlik	klidlik	lakok/lakom	nonce word response	klidlok	klidlom	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat klidlasz.	Én is sokat...	0.5802496162642746	q: thirty, s: 0.9, r: 0.5
klivaslik	klivaslik	lakok/lakom	nonce word response	klivaslok	klivaslom	19	7	0.9162907318741552	-lik	2	NA	NA	Te bizony sokat klivaslasz.	Én is sokat...	0.5660210900281959	q: thirty, s: 0.9, r: 0.5
klörlik	klörlik	lakok/lakom	nonce word response	klörlök	klörlöm	18	9	0.6418538861723947	-lik	1	NA	NA	Te bizony sokat klörlesz.	Én is sokat...	0.5518939738874131	q: thirty, s: 0.9, r: 0.5
kumlik	kumlik	lakok/lakom	nonce word response	kumlok	kumlom	25	4	1.6486586255873816	-lik	1	NA	NA	Te bizony sokat kumlasz.	Én is sokat...	0.6081079881972336	q: thirty, s: 0.9, r: 0.5
lihadzik	lihadzik	lakok/lakom	nonce word response	lihadzok	lihadzom	16	13	0.1941560144409574	-zik	2	NA	NA	Te bizony sokat lihadzol.	Én is sokat...	0.5184348152223581	q: thirty, s: 0.9, r: 0.5
livaklik	livaklik	lakok/lakom	nonce word response	livaklok	livaklom	7	20	-0.9650808960435872	-lik	2	NA	NA	Te bizony sokat livaklasz.	Én is sokat...	0.42065507072365454	q: thirty, s: 0.9, r: 0.5
lorjódzik	lorjódzik	lakok/lakom	nonce word response	lorjódzok	lorjódzom	13	16	-0.1941560144409575	-zik	2	NA	NA	Te bizony sokat lorjódzol.	Én is sokat...	0.5191082013393498	q: thirty, s: 0.9, r: 0.5
lörűdzik	lörűdzik	lakok/lakom	nonce word response	lörűdzök	lörűdzöm	12	15	-0.2076393647782445	-zik	2	NA	NA	Te bizony sokat lörűdzöl.	Én is sokat...	0.5157067280296594	q: thirty, s: 0.9, r: 0.5
málapszik	málapßik	lakok/lakom	nonce word response	málapszok	málapszom	13	14	-0.06899287148695143	-szik	2	NA	NA	Te bizony sokat málapszol.	Én is sokat...	0.3749071961890436	q: thirty, s: 0.9, r: 0.5
marzik	marzik	lakok/lakom	nonce word response	marzok	marzom	19	8	0.7985076962177716	-zik	1	NA	NA	Te bizony sokat marzol.	Én is sokat...	0.5941111502573353	q: thirty, s: 0.9, r: 0.5
mékszik	mékßik	lakok/lakom	nonce word response	mékszek	mékszem	12	14	-0.1431008436406733	-szik	1	NA	NA	Te bizony sokat mékszel.	Én is sokat...	0.4683607083675979	q: thirty, s: 0.9, r: 0.5
narádzik	narádzik	lakok/lakom	nonce word response	narádzok	narádzom	9	18	-0.6418538861723948	-zik	2	NA	NA	Te bizony sokat narádzol.	Én is sokat...	0.5481799616728322	q: thirty, s: 0.9, r: 0.5
narjárzik	narjárzik	lakok/lakom	nonce word response	narjárzok	narjárzom	13	13	0	-zik	2	NA	NA	Te bizony sokat narjárzol.	Én is sokat...	0.5661222933029422	q: thirty, s: 0.9, r: 0.5
nűröklik	nűröklik	lakok/lakom	nonce word response	nűröklök	nűröklöm	13	16	-0.1941560144409575	-lik	2	NA	NA	Te bizony sokat nűröklesz.	Én is sokat...	0.4842343438576456	q: thirty, s: 0.9, r: 0.5
nyáslik	¥áslik	lakok/lakom	nonce word response	nyáslok	nyáslom	17	9	0.5877866649021191	-lik	1	NA	NA	Te bizony sokat nyáslasz.	Én is sokat...	0.5371091692627377	q: thirty, s: 0.9, r: 0.5
pebzik	pebzik	lakok/lakom	nonce word response	pebzek	pebzem	17	10	0.49247648509779424	-zik	1	NA	NA	Te bizony sokat pebzel.	Én is sokat...	0.6064226273802834	q: thirty, s: 0.9, r: 0.5
péleslik	péleslik	lakok/lakom	nonce word response	péleslek	péleslem	20	9	0.7419373447293773	-lik	2	NA	NA	Te bizony sokat péleslesz.	Én is sokat...	0.5833196012745269	q: thirty, s: 0.9, r: 0.5
píjlik	píjlik	lakok/lakom	nonce word response	píjlok	píjlom	18	9	0.6418538861723947	-lik	1	NA	NA	Te bizony sokat píjlasz.	Én is sokat...	0.5970595844864396	q: thirty, s: 0.9, r: 0.5
piragszik	piragßik	lakok/lakom	nonce word response	piragszok	piragszom	9	17	-0.587786664902119	-szik	2	NA	NA	Te bizony sokat piragszol.	Én is sokat...	0.37010477360468	q: thirty, s: 0.9, r: 0.5
pítszik	pítßik	lakok/lakom	nonce word response	pítszok	pítszom	10	17	-0.49247648509779407	-szik	1	NA	NA	Te bizony sokat pítszol.	Én is sokat...	0.46269974279348247	q: thirty, s: 0.9, r: 0.5
pivegszik	pivegßik	lakok/lakom	nonce word response	pivegszek	pivegszem	8	21	-0.8938178760220964	-szik	2	NA	NA	Te bizony sokat pivegszel.	Én is sokat...	0.42861115487819595	q: thirty, s: 0.9, r: 0.5
plágadzik	plágadzik	lakok/lakom	nonce word response	plágadzok	plágadzom	10	16	-0.4353180712578455	-zik	2	NA	NA	Te bizony sokat plágadzol.	Én is sokat...	0.4822263340207172	q: thirty, s: 0.9, r: 0.5
plövőrzik	plövőrzik	lakok/lakom	nonce word response	plövőrzök	plövőrzöm	14	13	0.06899287148695142	-zik	2	NA	NA	Te bizony sokat plövőrzöl.	Én is sokat...	0.5622269255682798	q: thirty, s: 0.9, r: 0.5
plűbzik	plűbzik	lakok/lakom	nonce word response	plűbzök	plűbzöm	17	10	0.49247648509779424	-zik	1	NA	NA	Te bizony sokat plűbzöl.	Én is sokat...	0.5557139053547387	q: thirty, s: 0.9, r: 0.5
plugzik	plugzik	lakok/lakom	nonce word response	plugzok	plugzom	12	17	-0.325422400434628	-zik	1	NA	NA	Te bizony sokat plugzol.	Én is sokat...	0.5255089996028319	q: thirty, s: 0.9, r: 0.5
praslik	praslik	lakok/lakom	nonce word response	praslok	praslom	24	5	1.4271163556401458	-lik	1	NA	NA	Te bizony sokat praslasz.	Én is sokat...	0.5427286932181247	q: thirty, s: 0.9, r: 0.5
pratánylik	pratá¥lik	lakok/lakom	nonce word response	pratánylok	pratánylom	23	6	1.2321436812926323	-lik	2	NA	NA	Te bizony sokat pratánylasz.	Én is sokat...	0.5012273548614621	q: thirty, s: 0.9, r: 0.5
