prompt_cc	prompt_cvc	suffix_ep	target_cc	target_cvc	tr_stem	tr_end	prompt_cc_tr	nsyl
spéglik	spégezik	nek	spéglenek	spégeznek	spég	lik	spéglik	1
spéglik	spégezik	tek	spégletek	spégeztek	spég	lik	spéglik	1
spéglik	spégezik	ünk	spéglünk	spégezünk	spég	lik	spéglik	1
sprüjzik	sprüjözik	nek	sprüjzenek	sprüjöznek	sprüj	zik	sprüjzik	1
sprüjzik	sprüjözik	tek	sprüjzötök	sprüjöztök	sprüj	zik	sprüjzik	1
sprüjzik	sprüjözik	ünk	sprüjzünk	sprüjözünk	sprüj	zik	sprüjzik	1
frálaslik	frálasozik	nek	frálaslanak	frálasoznak	frálas	lik	frálaslik	2
frálaslik	frálasozik	tek	frálaslotok	frálasoztok	frálas	lik	frálaslik	2
frálaslik	frálasozik	ünk	frálaslunk	frálasozunk	frálas	lik	frálaslik	2
sztrajlik	sztrajozik	nek	sztrajlanak	sztrajoznak	ßtraj	lik	ßtrajlik	1
sztrajlik	sztrajozik	tek	sztrajlotok	sztrajoztok	ßtraj	lik	ßtrajlik	1
sztrajlik	sztrajozik	ünk	sztrajlunk	sztrajozunk	ßtraj	lik	ßtrajlik	1
válagzik	válagozik	nek	válagzanak	válagoznak	válag	zik	válagzik	2
válagzik	válagozik	tek	válagzotok	válagoztok	válag	zik	válagzik	2
válagzik	válagozik	ünk	válagzunk	válagozunk	válag	zik	válagzik	2
hibágzik	hibágozik	nek	hibágzanak	hibágoznak	hibág	zik	hibágzik	2
hibágzik	hibágozik	tek	hibágzotok	hibágoztok	hibág	zik	hibágzik	2
hibágzik	hibágozik	ünk	hibágzunk	hibágozunk	hibág	zik	hibágzik	2
drűrzik	drűrözik	nek	drűrzenek	drűröznek	drűr	zik	drűrzik	1
drűrzik	drűrözik	tek	drűrzötök	drűröztök	drűr	zik	drűrzik	1
drűrzik	drűrözik	ünk	drűrzünk	drűrözünk	drűr	zik	drűrzik	1
ugorzik	ugorozik	nek	ugorzanak	ugoroznak	ugor	zik	ugorzik	2
ugorzik	ugorozik	tek	ugorzotok	ugoroztok	ugor	zik	ugorzik	2
ugorzik	ugorozik	ünk	ugorzunk	ugorozunk	ugor	zik	ugorzik	2
jalszik	jalodik	nek	jalszanak	jalodnak	jal	ßik	jalßik	1
jalszik	jalodik	tek	jalszotok	jalodtok	jal	ßik	jalßik	1
jalszik	jalodik	ünk	jalszunk	jalodunk	jal	ßik	jalßik	1
nyéjzik	nyéjezik	nek	nyéjzenek	nyéjeznek	¥éj	zik	¥éjzik	1
nyéjzik	nyéjezik	tek	nyéjzetek	nyéjeztek	¥éj	zik	¥éjzik	1
nyéjzik	nyéjezik	ünk	nyéjzünk	nyéjezünk	¥éj	zik	¥éjzik	1
friheglik	frihegezik	nek	friheglenek	frihegeznek	friheg	lik	friheglik	2
friheglik	frihegezik	tek	frihegletek	frihegeztek	friheg	lik	friheglik	2
friheglik	frihegezik	ünk	friheglünk	frihegezünk	friheg	lik	friheglik	2
spérzik	spérezik	nek	spérzenek	spéreznek	spér	zik	spérzik	1
spérzik	spérezik	tek	spérzetek	spéreztek	spér	zik	spérzik	1
spérzik	spérezik	ünk	spérzünk	spérezünk	spér	zik	spérzik	1
frelénylik	frelényezik	nek	frelénylenek	frelényeznek	frelé¥	lik	frelé¥lik	2
frelénylik	frelényezik	tek	frelényletek	frelényeztek	frelé¥	lik	frelé¥lik	2
frelénylik	frelényezik	ünk	frelénylünk	frelényezünk	frelé¥	lik	frelé¥lik	2
nyüglik	nyügözik	nek	nyüglenek	nyügöznek	¥üg	lik	¥üglik	1
nyüglik	nyügözik	tek	nyüglötök	nyügöztök	¥üg	lik	¥üglik	1
nyüglik	nyügözik	ünk	nyüglünk	nyügözünk	¥üg	lik	¥üglik	1
drilakszik	drilakodik	nek	drilakszanak	drilakodnak	drilak	ßik	drilakßik	2
drilakszik	drilakodik	tek	drilakszotok	drilakodtok	drilak	ßik	drilakßik	2
drilakszik	drilakodik	ünk	drilakszunk	drilakodunk	drilak	ßik	drilakßik	2
flihárzik	flihározik	nek	flihárzanak	flihároznak	flihár	zik	flihárzik	2
flihárzik	flihározik	tek	flihárzotok	flihároztok	flihár	zik	flihárzik	2
flihárzik	flihározik	ünk	flihárzunk	flihározunk	flihár	zik	flihárzik	2
pekszik	pekedik	nek	pekszenek	pekednek	pek	ßik	pekßik	1
pekszik	pekedik	tek	pekszetek	pekedtek	pek	ßik	pekßik	1
pekszik	pekedik	ünk	pekszünk	pekedünk	pek	ßik	pekßik	1
sprudlik	sprudozik	nek	sprudlanak	sprudoznak	sprud	lik	sprudlik	1
sprudlik	sprudozik	tek	sprudlotok	sprudoztok	sprud	lik	sprudlik	1
sprudlik	sprudozik	ünk	sprudlunk	sprudozunk	sprud	lik	sprudlik	1
plütlik	plütözik	nek	plütlenek	plütöznek	plüt	lik	plütlik	1
plütlik	plütözik	tek	plütlötök	plütöztök	plüt	lik	plütlik	1
plütlik	plütözik	ünk	plütlünk	plütözünk	plüt	lik	plütlik	1
gyirakszik	gyirakodik	nek	gyirakszanak	gyirakodnak	©irak	ßik	©irakßik	2
gyirakszik	gyirakodik	tek	gyirakszotok	gyirakodtok	©irak	ßik	©irakßik	2
gyirakszik	gyirakodik	ünk	gyirakszunk	gyirakodunk	©irak	ßik	©irakßik	2
pribánylik	pribányozik	nek	pribánylanak	pribányoznak	pribá¥	lik	pribá¥lik	2
pribánylik	pribányozik	tek	pribánylotok	pribányoztok	pribá¥	lik	pribá¥lik	2
pribánylik	pribányozik	ünk	pribánylunk	pribányozunk	pribá¥	lik	pribá¥lik	2
milékszik	milékedik	nek	milékszenek	milékednek	milék	ßik	milékßik	2
milékszik	milékedik	tek	milékszetek	milékedtek	milék	ßik	milékßik	2
milékszik	milékedik	ünk	milékszünk	milékedünk	milék	ßik	milékßik	2
vobzik	vobozik	nek	vobzanak	voboznak	vob	zik	vobzik	1
vobzik	vobozik	tek	vobzotok	voboztok	vob	zik	vobzik	1
vobzik	vobozik	ünk	vobzunk	vobozunk	vob	zik	vobzik	1
csaránylik	csarányozik	nek	csaránylanak	csarányoznak	çará¥	lik	çará¥lik	2
csaránylik	csarányozik	tek	csaránylotok	csarányoztok	çará¥	lik	çará¥lik	2
csaránylik	csarányozik	ünk	csaránylunk	csarányozunk	çará¥	lik	çará¥lik	2
dáraslik	dárasozik	nek	dáraslanak	dárasoznak	dáras	lik	dáraslik	2
dáraslik	dárasozik	tek	dáraslotok	dárasoztok	dáras	lik	dáraslik	2
dáraslik	dárasozik	ünk	dáraslunk	dárasozunk	dáras	lik	dáraslik	2
kilénylik	kilényezik	nek	kilénylenek	kilényeznek	kilé¥	lik	kilé¥lik	2
kilénylik	kilényezik	tek	kilényletek	kilényeztek	kilé¥	lik	kilé¥lik	2
kilénylik	kilényezik	ünk	kilénylünk	kilényezünk	kilé¥	lik	kilé¥lik	2
spibeglik	spibegezik	nek	spibeglenek	spibegeznek	spibeg	lik	spibeglik	2
spibeglik	spibegezik	tek	spibegletek	spibegeztek	spibeg	lik	spibeglik	2
spibeglik	spibegezik	ünk	spibeglünk	spibegezünk	spibeg	lik	spibeglik	2
ivarzik	ivarozik	nek	ivarzanak	ivaroznak	ivar	zik	ivarzik	2
ivarzik	ivarozik	tek	ivarzotok	ivaroztok	ivar	zik	ivarzik	2
ivarzik	ivarozik	ünk	ivarzunk	ivarozunk	ivar	zik	ivarzik	2
mibejlik	mibejezik	nek	mibejlenek	mibejeznek	mibej	lik	mibejlik	2
mibejlik	mibejezik	tek	mibejletek	mibejeztek	mibej	lik	mibejlik	2
mibejlik	mibejezik	ünk	mibejlünk	mibejezünk	mibej	lik	mibejlik	2
sprebzik	sprebezik	nek	sprebzenek	sprebeznek	spreb	zik	sprebzik	1
sprebzik	sprebezik	tek	sprebzetek	sprebeztek	spreb	zik	sprebzik	1
sprebzik	sprebezik	ünk	sprebzünk	sprebezünk	spreb	zik	sprebzik	1
kletégszik	kletégedik	nek	kletégszenek	kletégednek	kletég	ßik	kletégßik	2
kletégszik	kletégedik	tek	kletégszetek	kletégedtek	kletég	ßik	kletégßik	2
kletégszik	kletégedik	ünk	kletégszünk	kletégedünk	kletég	ßik	kletégßik	2
nyálaklik	nyálakozik	nek	nyálaklanak	nyálakoznak	¥álak	lik	¥álaklik	2
nyálaklik	nyálakozik	tek	nyálaklotok	nyálakoztok	¥álak	lik	¥álaklik	2
nyálaklik	nyálakozik	ünk	nyálaklunk	nyálakozunk	¥álak	lik	¥álaklik	2
délegzik	délegezik	nek	délegzenek	délegeznek	déleg	zik	délegzik	2
délegzik	délegezik	tek	délegzetek	délegeztek	déleg	zik	délegzik	2
délegzik	délegezik	ünk	délegzünk	délegezünk	déleg	zik	délegzik	2
medlik	medezik	nek	medlenek	medeznek	med	lik	medlik	1
medlik	medezik	tek	medletek	medeztek	med	lik	medlik	1
medlik	medezik	ünk	medlünk	medezünk	med	lik	medlik	1
héjlik	héjezik	nek	héjlenek	héjeznek	héj	lik	héjlik	1
héjlik	héjezik	tek	héjletek	héjeztek	héj	lik	héjlik	1
héjlik	héjezik	ünk	héjlünk	héjezünk	héj	lik	héjlik	1
prögzik	prögözik	nek	prögzenek	prögöznek	prög	zik	prögzik	1
prögzik	prögözik	tek	prögzötök	prögöztök	prög	zik	prögzik	1
prögzik	prögözik	ünk	prögzünk	prögözünk	prög	zik	prögzik	1
trálszik	trálodik	nek	trálszanak	trálodnak	trál	ßik	trálßik	1
trálszik	trálodik	tek	trálszotok	trálodtok	trál	ßik	trálßik	1
trálszik	trálodik	ünk	trálszunk	trálodunk	trál	ßik	trálßik	1
privékszik	privékedik	nek	privékszenek	privékednek	privék	ßik	privékßik	2
privékszik	privékedik	tek	privékszetek	privékedtek	privék	ßik	privékßik	2
privékszik	privékedik	ünk	privékszünk	privékedünk	privék	ßik	privékßik	2
drumlik	drumozik	nek	drumlanak	drumoznak	drum	lik	drumlik	1
drumlik	drumozik	tek	drumlotok	drumoztok	drum	lik	drumlik	1
drumlik	drumozik	ünk	drumlunk	drumozunk	drum	lik	drumlik	1
sprüklik	sprüközik	nek	sprüklenek	sprüköznek	sprük	lik	sprüklik	1
sprüklik	sprüközik	tek	sprüklötök	sprüköztök	sprük	lik	sprüklik	1
sprüklik	sprüközik	ünk	sprüklünk	sprüközünk	sprük	lik	sprüklik	1
trukszik	trukodik	nek	trukszanak	trukodnak	truk	ßik	trukßik	1
trukszik	trukodik	tek	trukszotok	trukodtok	truk	ßik	trukßik	1
trukszik	trukodik	ünk	trukszunk	trukodunk	truk	ßik	trukßik	1
küslik	küsözik	nek	küslenek	küsöznek	küs	lik	küslik	1
küslik	küsözik	tek	küslötök	küsöztök	küs	lik	küslik	1
küslik	küsözik	ünk	küslünk	küsözünk	küs	lik	küslik	1
mihágzik	mihágozik	nek	mihágzanak	mihágoznak	mihág	zik	mihágzik	2
mihágzik	mihágozik	tek	mihágzotok	mihágoztok	mihág	zik	mihágzik	2
mihágzik	mihágozik	ünk	mihágzunk	mihágozunk	mihág	zik	mihágzik	2
rivapszik	rivapodik	nek	rivapszanak	rivapodnak	rivap	ßik	rivapßik	2
rivapszik	rivapodik	tek	rivapszotok	rivapodtok	rivap	ßik	rivapßik	2
rivapszik	rivapodik	ünk	rivapszunk	rivapodunk	rivap	ßik	rivapßik	2
tribáglik	tribágozik	nek	tribáglanak	tribágoznak	tribág	lik	tribáglik	2
tribáglik	tribágozik	tek	tribáglotok	tribágoztok	tribág	lik	tribáglik	2
tribáglik	tribágozik	ünk	tribáglunk	tribágozunk	tribág	lik	tribáglik	2
druboslik	drubosozik	nek	druboslanak	drubosoznak	drubos	lik	druboslik	2
druboslik	drubosozik	tek	druboslotok	drubosoztok	drubos	lik	druboslik	2
druboslik	drubosozik	ünk	druboslunk	drubosozunk	drubos	lik	druboslik	2
verégszik	verégedik	nek	verégszenek	verégednek	verég	ßik	verégßik	2
verégszik	verégedik	tek	verégszetek	verégedtek	verég	ßik	verégßik	2
verégszik	verégedik	ünk	verégszünk	verégedünk	verég	ßik	verégßik	2
fraklik	frakozik	nek	fraklanak	frakoznak	frak	lik	fraklik	1
fraklik	frakozik	tek	fraklotok	frakoztok	frak	lik	fraklik	1
fraklik	frakozik	ünk	fraklunk	frakozunk	frak	lik	fraklik	1
spivágzik	spivágozik	nek	spivágzanak	spivágoznak	spivág	zik	spivágzik	2
spivágzik	spivágozik	tek	spivágzotok	spivágoztok	spivág	zik	spivágzik	2
spivágzik	spivágozik	ünk	spivágzunk	spivágozunk	spivág	zik	spivágzik	2
flübzik	flübözik	nek	flübzenek	flüböznek	flüb	zik	flübzik	1
flübzik	flübözik	tek	flübzötök	flüböztök	flüb	zik	flübzik	1
flübzik	flübözik	ünk	flübzünk	flübözünk	flüb	zik	flübzik	1
kluzlik	kluzozik	nek	kluzlanak	kluzoznak	kluz	lik	kluzlik	1
kluzlik	kluzozik	tek	kluzlotok	kluzoztok	kluz	lik	kluzlik	1
kluzlik	kluzozik	ünk	kluzlunk	kluzozunk	kluz	lik	kluzlik	1
mülőrzik	mülőrözik	nek	mülőrzenek	mülőröznek	mülőr	zik	mülőrzik	2
mülőrzik	mülőrözik	tek	mülőrzötök	mülőröztök	mülőr	zik	mülőrzik	2
mülőrzik	mülőrözik	ünk	mülőrzünk	mülőrözünk	mülőr	zik	mülőrzik	2
plibeglik	plibegezik	nek	plibeglenek	plibegeznek	plibeg	lik	plibeglik	2
plibeglik	plibegezik	tek	plibegletek	plibegeztek	plibeg	lik	plibeglik	2
plibeglik	plibegezik	ünk	plibeglünk	plibegezünk	plibeg	lik	plibeglik	2
hibzik	hibozik	nek	hibzanak	hiboznak	hib	zik	hibzik	1
hibzik	hibozik	tek	hibzotok	hiboztok	hib	zik	hibzik	1
hibzik	hibozik	ünk	hibzunk	hibozunk	hib	zik	hibzik	1
furoslik	furosozik	nek	furoslanak	furosoznak	furos	lik	furoslik	2
furoslik	furosozik	tek	furoslotok	furosoztok	furos	lik	furoslik	2
furoslik	furosozik	ünk	furoslunk	furosozunk	furos	lik	furoslik	2
niváglik	nivágozik	nek	niváglanak	nivágoznak	nivág	lik	niváglik	2
niváglik	nivágozik	tek	niváglotok	nivágoztok	nivág	lik	niváglik	2
niváglik	nivágozik	ünk	niváglunk	nivágozunk	nivág	lik	niváglik	2
fretékszik	fretékedik	nek	fretékszenek	fretékednek	freték	ßik	fretékßik	2
fretékszik	fretékedik	tek	fretékszetek	fretékedtek	freték	ßik	fretékßik	2
fretékszik	fretékedik	ünk	fretékszünk	fretékedünk	freték	ßik	fretékßik	2
kirágzik	kirágozik	nek	kirágzanak	kirágoznak	kirág	zik	kirágzik	2
kirágzik	kirágozik	tek	kirágzotok	kirágoztok	kirág	zik	kirágzik	2
kirágzik	kirágozik	ünk	kirágzunk	kirágozunk	kirág	zik	kirágzik	2
sivajlik	sivajozik	nek	sivajlanak	sivajoznak	sivaj	lik	sivajlik	2
sivajlik	sivajozik	tek	sivajlotok	sivajoztok	sivaj	lik	sivajlik	2
sivajlik	sivajozik	ünk	sivajlunk	sivajozunk	sivaj	lik	sivajlik	2
molszik	molodik	nek	molszanak	molodnak	mol	ßik	molßik	1
molszik	molodik	tek	molszotok	molodtok	mol	ßik	molßik	1
molszik	molodik	ünk	molszunk	molodunk	mol	ßik	molßik	1
dritlik	dritozik	nek	dritlanak	dritoznak	drit	lik	dritlik	1
dritlik	dritozik	tek	dritlotok	dritoztok	drit	lik	dritlik	1
dritlik	dritozik	ünk	dritlunk	dritozunk	drit	lik	dritlik	1
frötőrzik	frötőrözik	nek	frötőrzenek	frötőröznek	frötőr	zik	frötőrzik	2
frötőrzik	frötőrözik	tek	frötőrzötök	frötőröztök	frötőr	zik	frötőrzik	2
frötőrzik	frötőrözik	ünk	frötőrzünk	frötőrözünk	frötőr	zik	frötőrzik	2
dirapszik	dirapodik	nek	dirapszanak	dirapodnak	dirap	ßik	dirapßik	2
dirapszik	dirapodik	tek	dirapszotok	dirapodtok	dirap	ßik	dirapßik	2
dirapszik	dirapodik	ünk	dirapszunk	dirapodunk	dirap	ßik	dirapßik	2
frirzik	frirozik	nek	frirzanak	friroznak	frir	zik	frirzik	1
frirzik	frirozik	tek	frirzotok	friroztok	frir	zik	frirzik	1
frirzik	frirozik	ünk	frirzunk	frirozunk	frir	zik	frirzik	1
flékszik	flékedik	nek	flékszenek	flékednek	flék	ßik	flékßik	1
flékszik	flékedik	tek	flékszetek	flékedtek	flék	ßik	flékßik	1
flékszik	flékedik	ünk	flékszünk	flékedünk	flék	ßik	flékßik	1
verénylik	verényezik	nek	verénylenek	verényeznek	veré¥	lik	veré¥lik	2
verénylik	verényezik	tek	verényletek	verényeztek	veré¥	lik	veré¥lik	2
verénylik	verényezik	ünk	verénylünk	verényezünk	veré¥	lik	veré¥lik	2
metégszik	metégedik	nek	metégszenek	metégednek	metég	ßik	metégßik	2
metégszik	metégedik	tek	metégszetek	metégedtek	metég	ßik	metégßik	2
metégszik	metégedik	ünk	metégszünk	metégedünk	metég	ßik	metégßik	2
fláragzik	fláragozik	nek	fláragzanak	fláragoznak	flárag	zik	fláragzik	2
fláragzik	fláragozik	tek	fláragzotok	fláragoztok	flárag	zik	fláragzik	2
fláragzik	fláragozik	ünk	fláragzunk	fláragozunk	flárag	zik	fláragzik	2
béklik	békezik	nek	béklenek	békeznek	bék	lik	béklik	1
béklik	békezik	tek	békletek	békeztek	bék	lik	béklik	1
béklik	békezik	ünk	béklünk	békezünk	bék	lik	béklik	1
űzlik	űzözik	nek	űzlenek	űzöznek	űz	lik	űzlik	1
űzlik	űzözik	tek	űzlötök	űzöztök	űz	lik	űzlik	1
űzlik	űzözik	ünk	űzlünk	űzözünk	űz	lik	űzlik	1
brivaklik	brivakozik	nek	brivaklanak	brivakoznak	brivak	lik	brivaklik	2
brivaklik	brivakozik	tek	brivaklotok	brivakoztok	brivak	lik	brivaklik	2
brivaklik	brivakozik	ünk	brivaklunk	brivakozunk	brivak	lik	brivaklik	2
brálamlik	brálamozik	nek	brálamlanak	brálamoznak	brálam	lik	brálamlik	2
brálamlik	brálamozik	tek	brálamlotok	brálamoztok	brálam	lik	brálamlik	2
brálamlik	brálamozik	ünk	brálamlunk	brálamozunk	brálam	lik	brálamlik	2
spöklik	spöközik	nek	spöklenek	spököznek	spök	lik	spöklik	1
spöklik	spöközik	tek	spöklötök	spököztök	spök	lik	spöklik	1
spöklik	spöközik	ünk	spöklünk	spöközünk	spök	lik	spöklik	1
vehékszik	vehékedik	nek	vehékszenek	vehékednek	vehék	ßik	vehékßik	2
vehékszik	vehékedik	tek	vehékszetek	vehékedtek	vehék	ßik	vehékßik	2
vehékszik	vehékedik	ünk	vehékszünk	vehékedünk	vehék	ßik	vehékßik	2
flodlik	flodozik	nek	flodlanak	flodoznak	flod	lik	flodlik	1
flodlik	flodozik	tek	flodlotok	flodoztok	flod	lik	flodlik	1
flodlik	flodozik	ünk	flodlunk	flodozunk	flod	lik	flodlik	1
trubonylik	trubonyozik	nek	trubonylanak	trubonyoznak	trubo¥	lik	trubo¥lik	2
trubonylik	trubonyozik	tek	trubonylotok	trubonyoztok	trubo¥	lik	trubo¥lik	2
trubonylik	trubonyozik	ünk	trubonylunk	trubonyozunk	trubo¥	lik	trubo¥lik	2
tihekszik	tihekedik	nek	tihekszenek	tihekednek	tihek	ßik	tihekßik	2
tihekszik	tihekedik	tek	tihekszetek	tihekedtek	tihek	ßik	tihekßik	2
tihekszik	tihekedik	ünk	tihekszünk	tihekedünk	tihek	ßik	tihekßik	2
drihégszik	drihégedik	nek	drihégszenek	drihégednek	drihég	ßik	drihégßik	2
drihégszik	drihégedik	tek	drihégszetek	drihégedtek	drihég	ßik	drihégßik	2
drihégszik	drihégedik	ünk	drihégszünk	drihégedünk	drihég	ßik	drihégßik	2
dralágzik	dralágozik	nek	dralágzanak	dralágoznak	dralág	zik	dralágzik	2
dralágzik	dralágozik	tek	dralágzotok	dralágoztok	dralág	zik	dralágzik	2
dralágzik	dralágozik	ünk	dralágzunk	dralágozunk	dralág	zik	dralágzik	2
bomlik	bomozik	nek	bomlanak	bomoznak	bom	lik	bomlik	1
bomlik	bomozik	tek	bomlotok	bomoztok	bom	lik	bomlik	1
bomlik	bomozik	ünk	bomlunk	bomozunk	bom	lik	bomlik	1
sponylik	sponyozik	nek	sponylanak	sponyoznak	spo¥	lik	spo¥lik	1
sponylik	sponyozik	tek	sponylotok	sponyoztok	spo¥	lik	spo¥lik	1
sponylik	sponyozik	ünk	sponylunk	sponyozunk	spo¥	lik	spo¥lik	1
tibarzik	tibarozik	nek	tibarzanak	tibaroznak	tibar	zik	tibarzik	2
tibarzik	tibarozik	tek	tibarzotok	tibaroztok	tibar	zik	tibarzik	2
tibarzik	tibarozik	ünk	tibarzunk	tibarozunk	tibar	zik	tibarzik	2
jaslik	jasozik	nek	jaslanak	jasoznak	jas	lik	jaslik	1
jaslik	jasozik	tek	jaslotok	jasoztok	jas	lik	jaslik	1
jaslik	jasozik	ünk	jaslunk	jasozunk	jas	lik	jaslik	1
trugoklik	trugokozik	nek	trugoklanak	trugokoznak	trugok	lik	trugoklik	2
trugoklik	trugokozik	tek	trugoklotok	trugokoztok	trugok	lik	trugoklik	2
trugoklik	trugokozik	ünk	trugoklunk	trugokozunk	trugok	lik	trugoklik	2
prehékszik	prehékedik	nek	prehékszenek	prehékednek	prehék	ßik	prehékßik	2
prehékszik	prehékedik	tek	prehékszetek	prehékedtek	prehék	ßik	prehékßik	2
prehékszik	prehékedik	ünk	prehékszünk	prehékedünk	prehék	ßik	prehékßik	2
nerékszik	nerékedik	nek	nerékszenek	nerékednek	nerék	ßik	nerékßik	2
nerékszik	nerékedik	tek	nerékszetek	nerékedtek	nerék	ßik	nerékßik	2
nerékszik	nerékedik	ünk	nerékszünk	nerékedünk	nerék	ßik	nerékßik	2
brűklik	brűközik	nek	brűklenek	brűköznek	brűk	lik	brűklik	1
brűklik	brűközik	tek	brűklötök	brűköztök	brűk	lik	brűklik	1
brűklik	brűközik	ünk	brűklünk	brűközünk	brűk	lik	brűklik	1
guboslik	gubosozik	nek	guboslanak	gubosoznak	gubos	lik	guboslik	2
guboslik	gubosozik	tek	guboslotok	gubosoztok	gubos	lik	guboslik	2
guboslik	gubosozik	ünk	guboslunk	gubosozunk	gubos	lik	guboslik	2
csüröklik	csüröközik	nek	csüröklenek	csürököznek	çürök	lik	çüröklik	2
csüröklik	csüröközik	tek	csüröklötök	csürököztök	çürök	lik	çüröklik	2
csüröklik	csüröközik	ünk	csüröklünk	csüröközünk	çürök	lik	çüröklik	2
tretlik	tretezik	nek	tretlenek	treteznek	tret	lik	tretlik	1
tretlik	tretezik	tek	tretletek	treteztek	tret	lik	tretlik	1
tretlik	tretezik	ünk	tretlünk	tretezünk	tret	lik	tretlik	1
frivamlik	frivamozik	nek	frivamlanak	frivamoznak	frivam	lik	frivamlik	2
frivamlik	frivamozik	tek	frivamlotok	frivamoztok	frivam	lik	frivamlik	2
frivamlik	frivamozik	ünk	frivamlunk	frivamozunk	frivam	lik	frivamlik	2
spiráglik	spirágozik	nek	spiráglanak	spirágoznak	spirág	lik	spiráglik	2
spiráglik	spirágozik	tek	spiráglotok	spirágoztok	spirág	lik	spiráglik	2
spiráglik	spirágozik	ünk	spiráglunk	spirágozunk	spirág	lik	spiráglik	2
