onset	nucleus	coda	tr	word	target	keep_enough_distance	keep_no_overlap
ç	idr	é©	çidré©	csidrégy	çidré©	TRUE	TRUE
g	ázn	elt	gáznelt	gáznelt	gáznelt	TRUE	TRUE
p	içf	er	piçfer	picsfer	piçfer	TRUE	TRUE
sk	ir	ed	skired	skired	skired	TRUE	TRUE
k	ób	e¬	kóbe¬	kóbely	kóbe¬	TRUE	TRUE
f	am	ern	famern	famern	famern	TRUE	TRUE
Ω	av	éd	Ωavéd	zsavéd	Ωavéd	TRUE	TRUE
†	ízl	éj	†ízléj	tyízléj	†ízléj	TRUE	TRUE
t	ad	és	tadés	tadés	tadés	TRUE	TRUE
sl	ort	en	slorten	slorten	slorten	TRUE	TRUE
t	akb	end	takbend	takbend	takbend	TRUE	TRUE
sm	án	ek	smánek	smánek	smánek	TRUE	TRUE
z	íl	ef	zílef	zílef	zílef	TRUE	TRUE
br	ak	elt	brakelt	brakelt	brakelt	TRUE	TRUE
t	onv	ec	tonvec	tonvec	tonvec	TRUE	TRUE
sl	amz	en	slamzen	slamzen	slamzen	TRUE	TRUE
NA	imb	éz	imbéz	imbéz	imbéz	TRUE	TRUE
j	orz	enc	jorzenc	jorzenc	jorzenc	TRUE	TRUE
v	ámj	éz	vámjéz	vámjéz	vámjéz	TRUE	TRUE
Ω	iv	eb	Ωiveb	zsiveb	Ωiveb	TRUE	TRUE
n	ít	erz	níterz	níterz	níterz	TRUE	TRUE
st	alf	e©	stalfe©	stalfegy	stalfe©	TRUE	TRUE
kl	anz	éd	klanzéd	klanzéd	klanzéd	TRUE	TRUE
z	ot	ék	zoték	zoték	zoték	TRUE	TRUE
g	adr	éß	gadréß	gadrész	gadréß	TRUE	TRUE
c	amz	ék	camzék	camzék	camzék	TRUE	TRUE
¥	im	ég	¥imég	nyimég	¥imég	TRUE	TRUE
c	áj	ér	cájér	cájér	cájér	TRUE	TRUE
NA	akn	ét	aknét	aknét	aknét	TRUE	TRUE
©	uc	ert	©ucert	gyucert	©ucert	TRUE	TRUE
r	i†	elv	ri†elv	rityelv	ri†elv	TRUE	TRUE
g	oßt	ern	goßtern	gosztern	goßtern	TRUE	TRUE
r	ilt	é©	rilté©	riltégy	rilté©	TRUE	TRUE
pr	ij	él	prijél	prijél	prijél	TRUE	TRUE
sk	arm	el	skarmel	skarmel	skarmel	TRUE	TRUE
tr	il	ek	trilek	trilek	trilek	TRUE	TRUE
kr	ánd	él	krándél	krándél	krándél	TRUE	TRUE
j	úfn	eßk	júfneßk	júfneszk	júfneßk	TRUE	TRUE
kr	im	e©	krime©	krimegy	krime©	TRUE	TRUE
pr	ín	é©	príné©	prínégy	príné©	TRUE	TRUE
f	ínt	e¬	fínte¬	fíntely	fínte¬	TRUE	TRUE
†	íb	ez	†íbez	tyíbez	†íbez	TRUE	TRUE
v	ayk	ég	vaykég	vaykég	vaykég	TRUE	TRUE
j	os	enc	josenc	josenc	josenc	TRUE	TRUE
fl	ap	éz	flapéz	flapéz	flapéz	TRUE	TRUE
g	om	ek	gomek	gomek	gomek	TRUE	TRUE
s	ang	elt	sangelt	sangelt	sangelt	TRUE	TRUE
j	i†	éd	ji†éd	jityéd	ji†éd	TRUE	TRUE
r	anß	et	ranßet	ranszet	ranßet	TRUE	TRUE
k	uc	ég	kucég	kucég	kucég	TRUE	TRUE
sr	ov	enc	srovenc	srovenc	srovenc	TRUE	TRUE
†	úsl	ég	†úslég	tyúslég	†úslég	TRUE	TRUE
t	ám	ez	támez	támez	támez	TRUE	TRUE
n	ajr	eg	najreg	najreg	najreg	TRUE	TRUE
c	ayk	elt	caykelt	caykelt	caykelt	TRUE	TRUE
kl	áj	ert	klájert	klájert	klájert	TRUE	TRUE
tr	ovj	ed	trovjed	trovjed	trovjed	TRUE	TRUE
l	íns	ék	línsék	línsék	línsék	TRUE	TRUE
fr	azb	en	frazben	frazben	frazben	TRUE	TRUE
fr	ot	ez	frotez	frotez	frotez	TRUE	TRUE
t	ovd	é©	tovdé©	tovdégy	tovdé©	TRUE	TRUE
kv	ajt	ed	kvajted	kvajted	kvajted	TRUE	TRUE
ß	ic	ed	ßiced	sziced	ßiced	TRUE	TRUE
l	ind	ef	lindef	lindef	lindef	TRUE	TRUE
sp	ímz	ét	spímzét	spímzét	spímzét	TRUE	TRUE
t	uß	enc	tußenc	tuszenc	tußenc	TRUE	TRUE
l	uz	év	luzév	luzév	luzév	TRUE	TRUE
j	olf	enc	jolfenc	jolfenc	jolfenc	TRUE	TRUE
c	um	ép	cumép	cumép	cumép	TRUE	TRUE
p	ist	ek	pistek	pistek	pistek	TRUE	TRUE
l	ágn	ezt	lágnezt	lágnezt	lágnezt	TRUE	TRUE
f	itv	eg	fitveg	fitveg	fitveg	TRUE	TRUE
d	áç	ez	dáçez	dácsez	dáçez	TRUE	TRUE
d	ár¥	ég	dár¥ég	dárnyég	dár¥ég	TRUE	TRUE
Ω	áb	ép	Ωábép	zsábép	Ωábép	TRUE	TRUE
c	ízl	ef	cízlef	cízlef	cízlef	TRUE	TRUE
spr	ób	éd	spróbéd	spróbéd	spróbéd	TRUE	TRUE
c	óß	ed	cóßed	cószed	cóßed	TRUE	TRUE
b	írl	ek	bírlek	bírlek	bírlek	TRUE	TRUE
r	uc	est	rucest	rucest	rucest	TRUE	TRUE
c	ábß	em	cábßem	cábszem	cábßem	TRUE	TRUE
z	ond	elt	zondelt	zondelt	zondelt	TRUE	TRUE
k	itv	enc	kitvenc	kitvenc	kitvenc	TRUE	TRUE
sk	alt	ég	skaltég	skaltég	skaltég	TRUE	TRUE
h	olv	enß	holvenß	holvensz	holvenß	TRUE	TRUE
kl	ámj	et	klámjet	klámjet	klámjet	TRUE	TRUE
v	idr	est	vidrest	vidrest	vidrest	TRUE	TRUE
skr	aj	ed	skrajed	skrajed	skrajed	TRUE	TRUE
ßp	íml	er	ßpímler	szpímler	ßpímler	TRUE	TRUE
fr	its	eb	fritseb	fritseb	fritseb	TRUE	TRUE
j	ám	ef	jámef	jámef	jámef	TRUE	TRUE
sk	int	eg	skinteg	skinteg	skinteg	TRUE	TRUE
st	ánc	éd	stáncéd	stáncéd	stáncéd	TRUE	TRUE
ßp	akb	ét	ßpakbét	szpakbét	ßpakbét	TRUE	TRUE
c	íz	e¬	cíze¬	cízely	cíze¬	TRUE	TRUE
¥	arm	éß	¥arméß	nyarmész	¥arméß	TRUE	TRUE
t	íl	ern	tílern	tílern	tílern	TRUE	TRUE
r	itn	és	ritnés	ritnés	ritnés	TRUE	TRUE
ßp	íml	ég	ßpímlég	szpímlég	ßpímlég	TRUE	TRUE
pl	ók	eg	plókeg	plókeg	plókeg	TRUE	TRUE
t	óg	eß	tógeß	tógesz	tógeß	TRUE	TRUE
ç	árv	e¬	çárve¬	csárvely	çárve¬	TRUE	TRUE
kr	an	ef	kranef	kranef	kranef	TRUE	TRUE
c	isk	ét	ciskét	ciskét	ciskét	TRUE	TRUE
k	íz	en	kízen	kízen	kízen	TRUE	TRUE
j	ink	éΩ	jinkéΩ	jinkézs	jinkéΩ	TRUE	TRUE
¥	íß	eg	¥íßeg	nyíszeg	¥íßeg	TRUE	TRUE
l	í¥	erz	lí¥erz	línyerz	lí¥erz	TRUE	TRUE
tr	os	él	trosél	trosél	trosél	TRUE	TRUE
k	urd	e¬	kurde¬	kurdely	kurde¬	TRUE	TRUE
h	adv	em	hadvem	hadvem	hadvem	TRUE	TRUE
z	ínt	es	zíntes	zíntes	zíntes	TRUE	TRUE
br	íp	en	brípen	brípen	brípen	TRUE	TRUE
p	ádv	e¬	pádve¬	pádvely	pádve¬	TRUE	TRUE
†	urd	él	†urdél	tyurdél	†urdél	TRUE	TRUE
h	orz	és	horzés	horzés	horzés	TRUE	TRUE
h	ost	éj	hostéj	hostéj	hostéj	TRUE	TRUE
gr	ók	éß	grókéß	grókész	grókéß	TRUE	TRUE
kv	urn	eb	kvurneb	kvurneb	kvurneb	TRUE	TRUE
g	omß	ér	gomßér	gomszér	gomßér	TRUE	TRUE
s	onc	ej	soncej	soncej	soncej	TRUE	TRUE
fl	iç	ér	fliçér	flicsér	fliçér	TRUE	TRUE
ßp	om	él	ßpomél	szpomél	ßpomél	TRUE	TRUE
pr	ívf	éß	prívféß	prívfész	prívféß	TRUE	TRUE
Ω	ak	ég	Ωakég	zsakég	Ωakég	TRUE	TRUE
sp	ágn	ét	spágnét	spágnét	spágnét	TRUE	TRUE
f	ímk	elt	fímkelt	fímkelt	fímkelt	TRUE	TRUE
fr	inc	es	frinces	frinces	frinces	TRUE	TRUE
c	imb	ek	cimbek	cimbek	cimbek	TRUE	TRUE
n	ápr	elv	náprelv	náprelv	náprelv	TRUE	TRUE
spr	ub	éj	sprubéj	sprubéj	sprubéj	TRUE	TRUE
d	i©	es	di©es	digyes	di©es	TRUE	TRUE
†	oc	ers	†ocers	tyocers	†ocers	TRUE	TRUE
ßp	od	elv	ßpodelv	szpodelv	ßpodelv	TRUE	TRUE
sp	al	éc	spaléc	spaléc	spaléc	TRUE	TRUE
¥	orb	éd	¥orbéd	nyorbéd	¥orbéd	TRUE	TRUE
k	ív	erz	kíverz	kíverz	kíverz	TRUE	TRUE
p	iß	enc	pißenc	piszenc	pißenc	TRUE	TRUE
p	az	él	pazél	pazél	pazél	TRUE	TRUE
v	içf	éd	viçféd	vicsféd	viçféd	TRUE	TRUE
h	árm	eßk	hármeßk	hármeszk	hármeßk	TRUE	TRUE
fr	ád	éΩ	frádéΩ	frádézs	frádéΩ	TRUE	TRUE
h	ákß	eg	hákßeg	hákszeg	hákßeg	TRUE	TRUE
f	uk	é¥	fuké¥	fukény	fuké¥	TRUE	TRUE
c	ámj	ég	cámjég	cámjég	cámjég	TRUE	TRUE
h	itn	eg	hitneg	hitneg	hitneg	TRUE	TRUE
k	ót	éc	kótéc	kótéc	kótéc	TRUE	TRUE
s	akn	ej	saknej	saknej	saknej	TRUE	TRUE
pr	átß	em	prátßem	prátszem	prátßem	TRUE	TRUE
z	ubl	ej	zublej	zublej	zublej	TRUE	TRUE
ßl	ám	e©	ßláme©	szlámegy	ßláme©	TRUE	TRUE
s	ót	é¬	sóté¬	sótély	sóté¬	TRUE	TRUE
©	úfn	ér	©úfnér	gyúfnér	©úfnér	TRUE	TRUE
NA	úsl	ej	úslej	úslej	úslej	TRUE	TRUE
k	ágn	ér	kágnér	kágnér	kágnér	TRUE	TRUE
sk	inz	ej	skinzej	skinzej	skinzej	TRUE	TRUE
dΩ	ink	ec	dΩinkec	dzsinkec	dΩinkec	TRUE	TRUE
sk	árt	en	skárten	skárten	skárten	TRUE	TRUE
b	ajl	éΩ	bajléΩ	bajlézs	bajléΩ	TRUE	TRUE
st	ak	ern	stakern	stakern	stakern	TRUE	TRUE
gr	íßl	ét	gríßlét	gríszlét	gríßlét	TRUE	TRUE
r	inz	em	rinzem	rinzem	rinzem	TRUE	TRUE
r	ovd	elt	rovdelt	rovdelt	rovdelt	TRUE	TRUE
kv	ir	e¬	kvire¬	kvirely	kvire¬	TRUE	TRUE
m	ótl	ek	mótlek	mótlek	mótlek	TRUE	TRUE
NA	up	él	upél	upél	upél	TRUE	TRUE
sm	ogr	éd	smogréd	smogréd	smogréd	TRUE	TRUE
p	oc	év	pocév	pocév	pocév	TRUE	TRUE
fl	ár	ezt	flárezt	flárezt	flárezt	TRUE	TRUE
kv	ánd	éß	kvándéß	kvándész	kvándéß	TRUE	TRUE
d	íb	éz	díbéz	díbéz	díbéz	TRUE	TRUE
©	ir	ez	©irez	gyirez	©irez	TRUE	TRUE
l	ank	ér	lankér	lankér	lankér	TRUE	TRUE
gr	ízj	e¬	grízje¬	grízjely	grízje¬	TRUE	TRUE
ß	omb	end	ßombend	szombend	ßombend	TRUE	TRUE
¥	ág	éΩ	¥ágéΩ	nyágézs	¥ágéΩ	TRUE	TRUE
fr	ág	eß	frágeß	frágesz	frágeß	TRUE	TRUE
n	ívf	em	nívfem	nívfem	nívfem	TRUE	TRUE
gr	azb	et	grazbet	grazbet	grazbet	TRUE	TRUE
t	içf	erz	tiçferz	ticsferz	tiçferz	TRUE	TRUE
p	ovj	é¥	povjé¥	povjény	povjé¥	TRUE	TRUE
p	ust	ern	pustern	pustern	pustern	TRUE	TRUE
pl	int	éz	plintéz	plintéz	plintéz	TRUE	TRUE
n	uc	éj	nucéj	nucéj	nucéj	TRUE	TRUE
h	ig	ej	higej	higej	higej	TRUE	TRUE
k	olf	en	kolfen	kolfen	kolfen	TRUE	TRUE
sp	í¥	ef	spí¥ef	spínyef	spí¥ef	TRUE	TRUE
br	átk	éΩ	brátkéΩ	brátkézs	brátkéΩ	TRUE	TRUE
ßl	and	éj	ßlandéj	szlandéj	ßlandéj	TRUE	TRUE
s	iz	ét	sizét	sizét	sizét	TRUE	TRUE
t	ú¥k	eg	tú¥keg	túnykeg	tú¥keg	TRUE	TRUE
NA	a†	er	a†er	atyer	a†er	TRUE	TRUE
k	av	elt	kavelt	kavelt	kavelt	TRUE	TRUE
m	olv	er	molver	molver	molver	TRUE	TRUE
sm	úd	elt	smúdelt	smúdelt	smúdelt	TRUE	TRUE
sp	it	én	spitén	spitén	spitén	TRUE	TRUE
st	id	é©	stidé©	stidégy	stidé©	TRUE	TRUE
sp	ut	e¬	spute¬	sputely	spute¬	TRUE	TRUE
sm	á¥	ej	smá¥ej	smányej	smá¥ej	TRUE	TRUE
f	ij	é©	fijé©	fijégy	fijé©	TRUE	TRUE
z	áb	én	zábén	zábén	zábén	TRUE	TRUE
kr	apf	ez	krapfez	krapfez	krapfez	TRUE	TRUE
z	óm	ég	zómég	zómég	zómég	TRUE	TRUE
©	ajr	ed	©ajred	gyajred	©ajred	TRUE	TRUE
kl	uß	éd	klußéd	kluszéd	klußéd	TRUE	TRUE
ç	ú¥k	ég	çú¥kég	csúnykég	çú¥kég	TRUE	TRUE
p	ít	ek	pítek	pítek	pítek	TRUE	TRUE
p	aj	év	pajév	pajév	pajév	TRUE	TRUE
sp	i¬	ét	spi¬ét	spilyét	spi¬ét	TRUE	TRUE
v	om	elt	vomelt	vomelt	vomelt	TRUE	TRUE
br	um	eßk	brumeßk	brumeszk	brumeßk	TRUE	TRUE
k	aß	ert	kaßert	kaszert	kaßert	TRUE	TRUE
k	í¥l	erz	kí¥lerz	kínylerz	kí¥lerz	TRUE	TRUE
