ccik	na
alszik	aludna
áramlik	áramolna
átsejlik	átsejelne
bagzik	bagozna
bicsaklik	bicsakolna
bomlik	bomolna
botlik	botolna
burjánzik	burjánozna
bűzlik	bűzölne
cselekszik	cselekedne
csetlik	csetelne
csillámlik	csillámolna
csillapszik	csillapodna
csömörlik	csömörülne
csuklik	csukolna
csuszamlik	csuszamolna
dicsekszik	dicsekedne
díszlik	díszelne
döglik	dögölne
elégszik	elégedne
elporzik	elporozna
emlékszik	emlékezne
fajzik	fajozna
fehérlik	fehérelne
fejlik	fejelne
fekszik	feküdne
felsejlik	felsejelne
feslik	feselne
fogamzik	fogamozna
fogzik	fogazna
fölsejlik	fölsejelne
foszlik	foszolna
fuldoklik	fuldokolna
furakszik	furakodna
fürdik	fürödne
gyanakszik	gyanakodna
gyarapszik	gyarapodna
gyülemlik	gyülemelne
habzik	habozna
haldoklik	haldokolna
hámlik	hámolna
hangzik	hangozna
hanyatlik	hanyatolna
haragszik	haragudna
háramlik	háramolna
hasonlik	hasonulna
hírlik	hírelne
hólyagzik	hólyagozna
hullámzik	hullámozna
igyekszik	igyekezne
iramlik	iramolna
ivarzik	ivarozna
ízlik	ízelne
kéklik	kékelne
kimagaslik	kimagasodna
ködlik	ködölne
kotlik	kotolna
lecsillapszik	lecsillapodna
lélegzik	lélegezne
lúdbőrzik	lúdbőrözne
magaslik	magasodna
magzik	magozna
melegszik	melegedne
morajlik	morajolna
mosakszik	mosakodna
növekszik	növekedne
nyaklik	nyakolna
nyugszik	nyugodna
omlik	omolna
ömlik	ömölne
összhangzik	összhangozna
oszlik	oszolna
özönlik	özönölne
parázslik	parázsolna
párzik	pározna
patakzik	patakozna
pattogzik	pattogozna
piroslik	pirosolna
porzik	porozik
rajzik	rajozna
rejlik	rejelne
rémlik	rémelne
robajlik	robajolna
romlik	romolna
sárlik	sárolna
sejlik	sejelne
sereglik	seregelne
siklik	sikolna
sötétlik	sötételne
sugárzik	sugározna
szaglik	szagolna
szembeötlik	szembeötölne
szólamlik	szólamolna
szülemlik	szülemelne
szüremlik	szüremelne
tajtékzik	tajtékozna
telepszik	telepedne
tolakszik	tolakodna
törekszik	törekedne
tülekszik	tülekedne
tündöklik	tündökölne
türemlik	türemelne
ugrik	ugorna
ülepszik	ülepedne
verekszik	verekedne
vérengzik	vérengezne
vereslik	vereselne
vérzik	vérezne
veszekszik	veszekedne
vetekszik	vetekedne
viharzik	viharozna
világlik	világolna
villámlik	villámolna
virágzik	virágozna
visszhangzik	visszhangozna
vonaglik	vonagolna
vöröslik	vöröselne
zajlik	zajolna
hiányzik	hiányozna
dohányzik	dohányozna
fénylik	fényelne
örvénylik	örvényelne
aránylik	arányolna
homálylik	homályolna